id,date_time,accident_type,car_type,location
4208,2024-12-04 17:00:00,collision,truck,the Regional Road
4093,2024-12-11 15:00:00,collision,motorcyclist,
4110,2024-12-11 13:00:00,collision,motorcyclist,Bay
4066,2024-12-13 17:30:00,collision,bus,Mellieha
4067,2024-12-11 18:00:00,collision,bus,Malta
4087,2024-12-14 18:00:00,collision,bus,Mellieha
4049,2024-12-15 21:00:00,collision,motorcyclist,Xewkija
4034,2024-12-13 19:45:00,collision,,Zabbar
4007,2024-12-11 18:00:00,collision,motorcycle,Bay
4024,2024-12-13 00:00:00,collision,truck,Malta
4014,2024-12-17 15:00:00,collision,van,Siggiewi
3989,,collision,bus,
3991,2024-12-20 00:00:00,unknown,motorcycle,Birkirkara
3976,2024-12-20 11:30:00,collision,,Naxxar
3964,,collision,motorcyclist,Aprilia
3966,2024-12-22 10:15:00,collision,,Mtarfa
3938,2024-12-23 08:00:00,collision,bus,Naxxar
3910,2024-12-23 00:00:00,collision,bus,the United Arab Emirates
3885,2024-12-27 08:00:00,collision,toyota,Marsa
3900,2024-12-27 00:00:00,collision,truck,Hamrun
3861,2024-12-29 00:00:00,collision,,Swieqi
3834,2024-12-30 00:00:00,collision,,
3766,2025-01-05 12:30:00,collision,,Zebbug
3747,2025-01-06 21:00:00,collision,,Tributes
3749,2025-01-06 20:00:00,collision,truck,Fgura
3740,2025-01-07 21:00:00,collision,truck,Attard
3704,2025-01-08 21:00:00,collision,,Malta
3699,2025-01-08 00:00:00,collision,,Malta
3671,2025-01-09 11:00:00,collision,,Rabat
3653,2025-01-11 00:00:00,collision,,
3601,2025-01-15 08:00:00,unknown,motorcycle,
3586,2025-01-15 16:45:00,collision,toyota,Sliema
3551,2025-01-16 10:15:00,collision,motorcyclist,Naxxar
3558,2025-01-16 00:00:00,collision,,Malta
3588,,collision,,St Julian's
3456,2025-01-22 21:00:00,unknown,motorcyclist,Sliema
3442,2025-01-23 20:15:00,collision,motorcycle,Birkirkara
3423,2025-01-25 00:00:00,collision,motorcycle,Msida
3408,2025-01-25 15:00:00,collision,motorcycle,the Coast Road
3255,2025-02-01 12:45:00,collision,motorcyclist,Birkirkara
3220,2025-01-31 00:00:00,collision,,St Julian's
3197,2025-02-04 08:00:00,collision,motorcyclist,Zejtun
3206,2025-02-05 09:00:00,unknown,,Zebbug
3169,2025-02-06 08:00:00,collision,motorcyclist,Naxxar
3100,2025-02-08 18:00:00,collision,van,Gozo
3095,2025-02-10 18:00:00,collision,bmw,
3090,2025-02-11 21:00:00,collision,truck,Malta
3001,2025-02-14 00:00:00,collision,motorcyclist,Iklin
2975,2025-02-16 00:00:00,collision,motorcyclist,Malta
2974,2025-02-16 11:00:00,collision,toyota,Siggiewi
2940,2025-02-17 15:00:00,collision,truck,Marsascala
2872,2025-02-19 18:00:00,collision,motorcyclist,Marsascala
2873,2025-02-20 00:00:00,collision,,Bay
2853,2025-02-21 08:00:00,collision,toyota,Paola
2849,2025-02-21 15:00:00,collision,,Floriana
2792,2025-02-24 14:15:00,collision,motorcycle,Hamrun
2745,2025-02-24 23:00:00,collision,van,
2666,2025-03-03 08:00:00,unknown,,Marsa
2658,2025-03-03 08:00:00,collision,,Xewkija
2557,2025-03-08 18:00:00,collision,motorcycle,Bay
2492,2025-03-13 14:45:00,collision,bus,Zebbug
2452,2025-03-14 08:00:00,collision,truck,Mdina
2461,2025-03-14 21:00:00,collision,bmw,Paola
2419,2025-03-16 08:00:00,collision,,Zebbug
2409,2025-03-16 08:00:00,unknown,motorcyclist,the Coast Road
2301,2025-03-22 08:00:00,collision,bus,Ghajnsielem
2259,2025-03-22 15:00:00,collision,truck,Nadur
2201,2025-03-26 00:00:00,unknown,motorcycle,Siggiewi
2157,2025-03-28 08:00:00,collision,truck,San Gwann
2080,2025-04-01 08:00:00,collision,,Naxxar
2101,2025-04-01 00:00:00,collision,,Mgarr
1989,2025-04-06 08:30:00,collision,motorcyclist,Kawasaki
1967,2025-04-06 20:45:00,collision,motorcycle,Santa Lucija
