article_id,accident_id,date_time,accident_type,location,road_name,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
4208,0,2024-12-04 17:00:00,collision,St Julian's,the Regional Road,0,1908,17.6,0.0,9.8,100.0,3.0
4093,0,2024-12-11 15:00:00,collision,St Paul's Bay,stationary garbage skip on the St,0,469,18.0,0.0,6.7,86.0,3.0
4110,0,2024-12-11 13:00:00,collision,St Paul's Bay,skip on St,0,2095,18.3,0.0,5.0,97.0,3.0
4066,0,2024-12-13 17:30:00,collision,Mellieha,,0,514,18.6,0.0,24.0,2.0,0.0
4066,1,2024-12-14 19:45:00,collision,,,515,1158,18.8,0.0,36.3,84.0,3.0
4067,0,2024-12-13 21:00:00,collision,Xemxija,Xemxija Pitstop,0,3192,18.8,0.0,23.4,0.0,0.0
4087,0,2024-12-11 12:00:00,collision,St Paul's Bay,skip on the St,0,1163,18.1,0.0,4.5,65.0,2.0
4049,0,2024-12-15 21:00:00,collision,Imgarr,,0,462,13.6,0.1,22.5,14.0,51.0
4034,0,2024-12-13 19:45:00,collision,Gudja,blood drive,0,1841,18.5,0.0,24.3,2.0,0.0
4007,0,2024-12-16 18:00:00,collision,St Paul's Bay,the St Paul's Bay,0,2323,15.3,0.0,27.1,4.0,0.0
4024,0,2024-12-13 00:00:00,collision,St Paul's Bay,skip positioned on the final curve of the St,0,1787,18.3,0.0,19.3,80.0,3.0
4014,0,2024-12-17 18:00:00,collision,Siggiewi,The road,0,1137,14.2,0.0,7.5,0.0,0.0
3989,0,2024-12-19 18:50:00,collision,Blata,traffic tailback on the busy street,0,590,16.2,0.0,17.4,43.0,1.0
3991,0,2024-12-20 00:00:00,motorcycle_fall,Birkirkara,,0,347,15.9,0.0,18.0,6.0,0.0
3976,0,2024-12-20 11:30:00,collision,Naxxar,,0,309,18.0,0.0,32.8,43.0,1.0
3976,1,2024-12-20 00:00:00,collision,,,310,618,17.7,0.0,28.6,3.0,0.0
3964,0,2024-12-22 14:25:00,collision,Kennedy Grove,close to Kennedy Grove on the southbound lane,0,869,15.9,0.0,20.5,98.0,3.0
3966,0,2024-12-22 10:15:00,collision,,,0,376,15.6,0.0,32.7,100.0,3.0
3938,0,2024-12-23 08:00:00,collision,Naxxar,van on the Regional Road,0,515,16.6,0.0,45.2,71.0,2.0
3910,0,2024-12-23 00:00:00,collision,Naxxar,Regional Road,0,1081,14.6,0.3,28.5,69.0,51.0
3885,0,2024-12-27 08:00:00,collision,Marsa,,0,697,13.9,0.0,13.9,50.0,2.0
3900,0,2024-12-27 12:00:00,collision,Hamrun,,0,521,14.4,0.2,20.1,76.0,51.0
3861,0,2024-12-29 00:00:00,collision,Madliena,Is the road,0,2879,12.7,0.0,6.9,16.0,0.0
3834,0,2024-12-30 00:00:00,collision,Mithna,,0,2993,14.5,0.0,5.1,1.0,0.0
3766,0,2025-01-05 12:30:00,collision,Birkirkara,,0,735,16.8,0.0,13.4,43.0,1.0
3747,0,2025-01-06 21:00:00,collision,Attard,The crash happened on the Mdina road,0,1392,16.2,0.0,15.9,100.0,3.0
3749,0,2025-01-06 18:00:00,collision,Fgura,,0,602,16.0,0.0,11.7,100.0,3.0
3749,1,2025-01-07 00:00:00,collision,,,603,696,17.7,0.0,28.3,100.0,3.0
3740,0,2025-01-06 09:40:00,collision,Attard,Mdina Road,0,1066,17.5,0.0,21.8,100.0,3.0
3740,1,2025-01-06 21:00:00,collision,,,1066,1315,17.6,0.0,27.0,100.0,3.0
3704,0,2025-01-08 21:00:00,collision,,,0,1690,16.3,0.0,26.1,14.0,0.0
3699,0,2025-01-08 00:00:00,collision,Attard,,0,918,15.6,0.0,20.3,8.0,0.0
3671,0,2025-01-09 11:00:00,collision,Rabat,,0,756,15.8,0.0,11.8,0.0,0.0
3653,0,2025-01-11 00:00:00,collision,Swieqi,particularly as road,0,3073,15.8,0.0,29.5,90.0,3.0
3601,0,2025-01-15 08:00:00,collision,Marsa,Anton Cassar Street,0,323,12.6,0.0,23.7,22.0,1.0
3601,1,2025-01-15 08:00:00,motorcycle_fall,,Tal-Barrani Road,324,494,13.9,0.0,27.0,25.0,1.0
3586,0,2025-01-15 16:45:00,collision,Sliema,,0,508,11.6,0.6,10.1,90.0,53.0
3551,0,2025-01-16 10:15:00,collision,Naxxar,,0,381,13.9,0.0,5.2,6.0,0.0
3558,0,2025-01-16 00:00:00,collision,Valletta,old man in the Regional Road,0,2475,9.8,0.0,1.8,20.0,1.0
3588,0,2025-01-16 21:00:00,collision,St Julian's,car in St,0,4816,14.1,0.8,19.2,100.0,53.0
3456,0,2025-01-22 21:00:00,unknown,Sliema,Rudolph Street,0,473,14.6,0.0,11.1,100.0,3.0
3442,0,2025-01-23 18:00:00,collision,Tal-Qroqq,,0,767,15.9,0.0,18.5,71.0,2.0
3423,0,2025-01-25 00:00:00,collision,,,0,850,16.4,0.0,28.8,0.0,0.0
3408,0,2025-01-25 17:00:00,collision,Fgura,the Coast Road,0,542,15.6,0.0,5.5,100.0,3.0
3255,0,2025-02-01 05:00:00,collision,Hal Farrug,Hal Farrug Street,0,414,14.6,0.0,20.4,25.0,1.0
3255,1,2025-02-01 12:45:00,collision,,,415,782,16.9,0.0,36.8,23.0,1.0
3220,0,2025-01-31 00:00:00,collision,St Julian's,the Regional Road,0,2414,13.0,0.0,7.1,21.0,1.0
3197,0,2025-02-04 08:00:00,collision,Zejtun,,0,484,12.6,0.0,1.9,9.0,0.0
3206,0,2025-02-05 09:00:00,motorcycle_fall,Ta' Qali,Vjal l-Istadium Nazzjonali,0,282,14.6,0.0,9.3,80.0,3.0
3169,0,2025-02-06 08:00:00,collision,Naxxar,Labour Avenue,0,496,13.1,0.0,14.7,69.0,2.0
3100,0,2025-02-08 18:00:00,collision,Rabat,the road,0,588,12.5,0.0,24.1,77.0,2.0
3095,0,2025-02-10 18:00:00,collision,Kirkop,pillar on the opposite side of the road,0,621,12.9,0.0,25.7,37.0,1.0
3090,0,2025-02-11 21:00:00,collision,Kirkop,centre strip and careened across the road,0,1134,12.9,0.0,11.3,17.0,0.0
3001,0,2025-02-14 00:00:00,collision,Iklin,Keeway,0,520,14.3,0.0,13.3,29.0,1.0
2975,0,2025-02-16 00:00:00,collision,,UK street,0,2635,13.9,0.4,49.3,64.0,51.0
2974,0,2025-02-16 11:00:00,collision,Siggiewi,,0,333,14.9,0.2,29.5,14.0,51.0
2940,0,2025-02-17 15:00:00,collision,Hal Far,car on Hal Far road,0,488,16.4,0.0,7.1,97.0,3.0
2872,0,2025-02-19 18:00:00,collision,Fgura,,0,409,13.9,0.0,8.8,99.0,3.0
2873,0,2025-02-20 00:00:00,collision,St Paul's Bay,new garden has been inaugurated in St,0,1518,12.9,0.0,10.0,99.0,3.0
2853,0,2025-02-21 08:00:00,collision,,,0,519,14.2,0.0,19.8,50.0,2.0
2849,0,2025-02-21 15:00:00,collision,Qormi,,0,506,14.4,0.2,14.2,99.0,51.0
2792,0,2025-02-24 00:00:00,collision,Hamrun,,0,691,11.1,0.0,1.7,0.0,0.0
2745,0,2025-02-24 23:00:00,collision,Hamrun,Hamrun road,0,1833,11.2,0.0,4.0,0.0,0.0
2666,0,2025-03-03 08:00:00,motorcycle_fall,Marsa,,0,459,14.9,0.0,23.3,12.0,0.0
2658,0,2025-03-03 08:00:00,collision,Imgarr,,0,329,14.4,0.0,23.3,16.0,0.0
2557,0,2025-03-08 18:00:00,collision,St Paul's Bay,,0,347,15.2,0.0,10.4,9.0,0.0
2492,0,2025-03-13 14:45:00,collision,Zebbug,,0,630,15.5,0.0,16.6,0.0,0.0
2452,0,2025-03-14 15:30:00,collision,Buqana,spilling an entire load of construction sand across the road,0,2142,21.4,0.0,25.3,95.0,3.0
2461,0,2025-03-14 21:00:00,collision,Ghajn,The road,0,841,19.5,0.0,23.8,0.0,0.0
2419,0,2025-03-16 08:00:00,collision,Zebbug,,0,449,14.8,0.0,34.2,0.0,0.0
2409,0,2025-03-16 08:00:00,motorcycle_fall,Naxxar,the Coast Road,0,308,15.8,0.0,23.3,0.0,0.0
2301,0,2025-03-22 08:00:00,collision,Ghajnsielem,old man from St,0,624,15.5,0.0,28.6,55.0,2.0
2259,0,2025-03-22 15:00:00,collision,Nadur,,0,507,17.1,0.0,30.4,0.0,0.0
2201,0,2025-03-26 00:00:00,unknown,Siggiewi,,0,468,15.4,0.0,1.3,100.0,3.0
2157,0,2025-03-28 08:00:00,collision,San Gwann,Police investigations are under way,0,467,15.1,0.0,29.3,42.0,1.0
2080,0,2025-04-01 08:00:00,collision,Naxxar,St Paul Street,0,247,12.8,0.1,13.1,91.0,51.0
2101,0,2025-04-01 00:00:00,collision,St Paul's Bay,Mosta Police Station,0,1634,13.8,0.8,15.9,66.0,53.0
1989,0,2025-04-06 08:30:00,collision,Attard,,0,399,16.6,0.1,13.9,100.0,51.0
1967,0,2025-04-06 20:45:00,collision,Buqana,the road,0,548,15.3,0.0,16.0,92.0,3.0
1856,0,2025-04-07 08:55:00,collision,Zurrieq,the Coast Road,0,830,15.0,0.1,23.7,93.0,51.0
1860,0,2025-04-13 15:00:00,collision,Gudja,,0,323,18.2,0.0,21.0,100.0,3.0
1808,0,2025-04-15 12:50:00,collision,Marsa,Traffic in the area was slow moving immediately after the accident but the road,0,746,22.5,0.0,23.0,79.0,2.0
1776,0,2025-04-17 08:00:00,collision,Zejtun,,0,490,15.9,0.0,20.5,26.0,1.0
1769,0,2025-04-17 15:00:00,collision,Luqa,Police investigations are under way,0,483,17.7,0.0,24.1,62.0,2.0
1745,0,2025-04-18 09:45:00,collision,Mosta,,0,336,18.4,0.0,17.6,93.0,3.0
1718,0,2025-04-18 13:30:00,collision,St Paul's Bay,Burmarrad Street,0,494,19.3,0.0,17.3,72.0,2.0
1490,0,2025-05-02 15:00:00,collision,Gharb,,0,604,17.4,0.0,10.0,0.0,0.0
1489,0,2025-05-02 17:00:00,collision,Xaghra,,0,665,17.6,0.0,12.1,0.0,0.0
1467,0,2025-05-04 15:00:00,collision,Marsa,,0,360,24.5,0.0,14.4,100.0,3.0
1380,0,2025-05-07 15:00:00,collision,Ghar,,0,366,25.0,0.0,8.0,48.0,1.0
1352,0,2025-05-09 00:00:00,collision,Siggiewi,with the road agency arguing that the council was responsible for maintaining the road,0,4454,19.5,0.0,19.6,6.0,0.0
1286,0,2025-05-12 08:00:00,collision,Wied,,0,375,20.1,0.0,17.4,58.0,2.0
1275,0,2025-05-12 08:00:00,unknown,Sliema,in St Joseph High Road,0,327,20.1,0.0,17.4,58.0,2.0
1227,0,2025-05-14 15:00:00,collision,Santa Venera,Regional Road,0,454,21.8,0.0,18.1,100.0,3.0
1165,0,2025-05-17 18:30:00,collision,Mellieha,close to the DB Seabank Hotel where one lane,0,625,18.3,0.0,16.2,0.0,0.0
1034,0,2025-05-22 08:00:00,collision,Ghajn,roadside building in Mgarr on the road,0,605,21.1,0.1,13.3,80.0,51.0
1015,0,2025-05-24 08:00:00,collision,Marsa,old Albanian national who lives in St,0,597,21.7,0.0,7.0,5.0,0.0
974,0,2025-05-25 13:15:00,collision,Bugibba,,0,355,22.3,0.0,23.8,4.0,0.0
964,0,2025-05-27 17:20:00,collision,Xemxija,The road,0,487,21.7,0.0,18.6,0.0,0.0
933,0,2025-05-27 15:00:00,motorcycle_fall,Xemxija,,0,1232,22.7,0.0,19.3,0.0,0.0
760,0,2025-06-03 04:30:00,collision,Rabat,Marfa Road,0,409,17.3,0.0,8.3,3.0,0.0
751,0,2025-06-04 21:00:00,collision,St Paul's Bay,Kennedy Drive,0,508,22.0,0.0,15.5,0.0,0.0
685,0,2025-06-06 21:00:00,collision,St Paul's Bay,collision in St,0,901,22.1,0.0,2.9,0.0,0.0
679,0,2025-06-06 15:00:00,collision,Xewkija,,0,542,20.7,0.0,16.3,0.0,0.0
640,0,2025-06-07 15:00:00,collision,,bollard that separates the road,0,505,23.0,0.0,8.1,100.0,3.0
640,1,2025-06-07 08:00:00,unknown,,,506,657,21.6,0.0,2.3,0.0,0.0
