person_id,article_id,age,gender,severity,is_driver,vehicle_type,person_state,accident_id,date_time,accident_type,location,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code,is_weekday,is_public_holiday,time_of_day,month,hour,day,year
0,4208,78.0,male,none,True,car,,0.0,2024-12-04 17:00:00,collision,St Julian's,17.6,0.0,9.8,100.0,3.0,True,False,evening,12,17.0,4,2024
1,4093,54.0,male,serious,True,motorcycle,,1.0,2024-12-11 17:00:00,collision,St Paul's Bay,15.5,0.0,6.5,100.0,3.0,True,False,evening,12,17.0,11,2024
2,4110,54.0,male,serious,True,motorcycle,,2.0,2024-12-11 13:00:00,collision,St Paul's Bay,18.3,0.0,5.0,97.0,3.0,True,False,afternoon,12,13.0,11,2024
3,4066,17.0,female,serious,False,,,3.0,2024-12-13 17:30:00,collision,Mellieha,18.6,0.0,24.0,2.0,0.0,True,False,evening,12,17.5,13,2024
4,4066,52.0,male,none,True,car,,3.0,2024-12-13 17:30:00,collision,Mellieha,18.6,0.0,24.0,2.0,0.0,True,False,evening,12,17.5,13,2024
5,4066,29.0,male,serious,False,,,4.0,2024-12-14 19:45:00,collision,Gudja,17.1,0.0,22.3,84.0,3.0,False,False,evening,12,19.75,14,2024
6,4066,50.0,,none,True,car,,4.0,2024-12-14 19:45:00,collision,Gudja,17.1,0.0,22.3,84.0,3.0,False,False,evening,12,19.75,14,2024
7,4067,54.0,male,fatal,True,motorcycle,,5.0,2024-12-13 21:00:00,collision,Xemxija,18.8,0.0,23.4,0.0,0.0,True,False,night,12,21.0,13,2024
8,4087,54.0,male,fatal,True,motorcycle,,6.0,2024-12-11 12:00:00,collision,St Paul's Bay,18.1,0.0,4.5,65.0,2.0,True,False,afternoon,12,12.0,11,2024
9,4049,45.0,male,serious,True,motorcycle,,7.0,2024-12-15 20:30:00,collision,Imgarr,13.6,0.1,22.5,14.0,51.0,False,False,evening,12,20.5,15,2024
10,4049,86.0,female,none,True,car,,7.0,2024-12-15 20:30:00,collision,Imgarr,13.6,0.1,22.5,14.0,51.0,False,False,evening,12,20.5,15,2024
11,4034,,male,serious,False,,,8.0,2024-12-13 19:45:00,collision,Gudja,18.5,0.0,24.3,2.0,0.0,True,False,evening,12,19.75,13,2024
12,4034,29.0,,none,False,,,8.0,2024-12-13 19:45:00,collision,Gudja,18.5,0.0,24.3,2.0,0.0,True,False,evening,12,19.75,13,2024
13,4007,54.0,male,fatal,True,motorcycle,,9.0,2024-12-16 18:00:00,collision,St Paul's Bay,15.3,0.0,27.1,4.0,0.0,True,False,evening,12,18.0,16,2024
15,4024,54.0,male,fatal,True,motorcycle,,10.0,2024-12-13 00:00:00,collision,St Paul's Bay,18.3,0.0,19.3,80.0,3.0,True,False,,12,,13,2024
16,4014,52.0,male,none,True,van,,11.0,2024-12-17 18:00:00,collision,Siggiewi,14.2,0.0,7.5,0.0,0.0,True,False,evening,12,18.0,17,2024
17,4014,43.0,female,none,False,,,11.0,2024-12-17 18:00:00,collision,Siggiewi,14.2,0.0,7.5,0.0,0.0,True,False,evening,12,18.0,17,2024
18,4014,46.0,male,none,True,van,,11.0,2024-12-17 18:00:00,collision,Siggiewi,14.2,0.0,7.5,0.0,0.0,True,False,evening,12,18.0,17,2024
679,3989,,,none,True,unknown,,12.0,2024-12-19 18:50:00,collision,Blata,16.2,0.0,17.4,43.0,1.0,True,False,evening,12,18.833333333333332,19,2024
680,3989,,,none,True,bus,,12.0,2024-12-19 18:50:00,collision,Blata,16.2,0.0,17.4,43.0,1.0,True,False,evening,12,18.833333333333332,19,2024
19,3991,30.0,female,serious,True,motorcycle,,13.0,2024-12-20 00:00:00,motorcycle_fall,Birkirkara,15.9,0.0,18.0,6.0,0.0,True,False,,12,,20,2024
20,3976,72.0,female,none,False,,,14.0,2024-12-20 11:30:00,collision,Naxxar,18.0,0.0,32.8,43.0,1.0,True,False,morning,12,11.5,20,2024
21,3976,2.0,,serious,False,,,14.0,2024-12-20 11:30:00,collision,Naxxar,18.0,0.0,32.8,43.0,1.0,True,False,morning,12,11.5,20,2024
22,3976,43.0,male,none,True,car,,14.0,2024-12-20 11:30:00,collision,Naxxar,18.0,0.0,32.8,43.0,1.0,True,False,morning,12,11.5,20,2024
23,3976,44.0,male,none,True,car,,15.0,2024-12-20 00:00:00,collision,San Gwann,15.6,0.0,15.1,6.0,0.0,True,False,,12,,20,2024
24,3964,31.0,male,minor,True,motorcycle,,16.0,2024-12-22 14:25:00,collision,Kennedy Grove,15.9,0.0,20.5,98.0,3.0,False,False,afternoon,12,14.416666666666666,22,2024
25,3964,40.0,male,serious,True,motorcycle,,16.0,2024-12-22 14:25:00,collision,Kennedy Grove,15.9,0.0,20.5,98.0,3.0,False,False,afternoon,12,14.416666666666666,22,2024
26,3964,27.0,female,none,True,car,,16.0,2024-12-22 14:25:00,collision,Kennedy Grove,15.9,0.0,20.5,98.0,3.0,False,False,afternoon,12,14.416666666666666,22,2024
28,3964,29.0,male,none,True,motorcycle,,16.0,2024-12-22 14:25:00,collision,Kennedy Grove,15.9,0.0,20.5,98.0,3.0,False,False,afternoon,12,14.416666666666666,22,2024
29,3966,13.0,female,serious,False,,,17.0,2024-12-22 10:15:00,collision,,15.6,0.0,32.7,100.0,3.0,False,False,morning,12,10.25,22,2024
30,3966,25.0,,none,True,car,,17.0,2024-12-22 10:15:00,collision,,15.6,0.0,32.7,100.0,3.0,False,False,morning,12,10.25,22,2024
31,3938,37.0,male,serious,True,bus,,18.0,2024-12-23 10:30:00,collision,Naxxar,13.9,0.3,44.4,100.0,51.0,True,False,morning,12,10.5,23,2024
32,3938,39.0,female,none,True,van,,18.0,2024-12-23 10:30:00,collision,Naxxar,13.9,0.3,44.4,100.0,51.0,True,False,morning,12,10.5,23,2024
33,3910,37.0,male,fatal,True,bus,,19.0,2024-12-23 00:00:00,collision,Naxxar,14.6,0.3,28.5,69.0,51.0,True,False,,12,,23,2024
34,3910,39.0,female,minor,True,van,,19.0,2024-12-23 00:00:00,collision,Naxxar,14.6,0.3,28.5,69.0,51.0,True,False,,12,,23,2024
35,3885,36.0,male,serious,True,car,,20.0,2024-12-27 07:45:00,collision,Marsa,13.9,0.0,13.9,50.0,2.0,True,False,morning,12,7.75,27,2024
36,3900,62.0,female,serious,True,motorcycle,,21.0,2024-12-27 12:00:00,collision,Hamrun,14.4,0.2,20.1,76.0,51.0,True,False,afternoon,12,12.0,27,2024
37,3900,25.0,,none,True,truck,,21.0,2024-12-27 12:00:00,collision,Hamrun,14.4,0.2,20.1,76.0,51.0,True,False,afternoon,12,12.0,27,2024
38,3861,21.0,female,fatal,False,,drunk,22.0,2024-12-29 00:00:00,collision,Madliena,12.7,0.0,6.9,16.0,0.0,False,False,,12,,29,2024
39,3861,,male,,True,car,,22.0,2024-12-29 00:00:00,collision,Madliena,12.7,0.0,6.9,16.0,0.0,False,False,,12,,29,2024
40,3861,17.0,female,none,False,,,22.0,2024-12-29 00:00:00,collision,Madliena,12.7,0.0,6.9,16.0,0.0,False,False,,12,,29,2024
42,3834,,male,none,True,,drunk,23.0,2024-12-30 00:00:00,collision,Mithna,14.5,0.0,5.1,1.0,0.0,True,False,,12,,30,2024
43,3834,,female,serious,True,car,,23.0,2024-12-30 00:00:00,collision,Mithna,14.5,0.0,5.1,1.0,0.0,True,False,,12,,30,2024
44,3766,72.0,male,serious,True,car,,24.0,2025-01-05 12:30:00,collision,Birkirkara,16.8,0.0,13.4,43.0,1.0,False,False,afternoon,1,12.5,5,2025
45,3766,66.0,female,serious,False,,,24.0,2025-01-05 12:30:00,collision,Birkirkara,16.8,0.0,13.4,43.0,1.0,False,False,afternoon,1,12.5,5,2025
46,3766,28.0,male,minor,True,car,,24.0,2025-01-05 12:30:00,collision,Birkirkara,16.8,0.0,13.4,43.0,1.0,False,False,afternoon,1,12.5,5,2025
47,3747,25.0,male,fatal,True,car,,25.0,2025-01-06 21:00:00,collision,Attard,16.2,0.0,15.9,100.0,3.0,True,False,night,1,21.0,6,2025
48,3749,20.0,female,serious,True,truck,,26.0,2025-01-06 20:00:00,collision,Fgura,16.0,0.0,12.1,100.0,3.0,True,False,evening,1,20.0,6,2025
49,3749,24.0,female,serious,False,,,26.0,2025-01-06 20:00:00,collision,Fgura,16.0,0.0,12.1,100.0,3.0,True,False,evening,1,20.0,6,2025
50,3749,34.0,,serious,False,,,26.0,2025-01-06 20:00:00,collision,Fgura,16.0,0.0,12.1,100.0,3.0,True,False,evening,1,20.0,6,2025
51,3749,25.0,,fatal,True,unknown,,27.0,2025-01-07 00:00:00,collision,Attard,16.4,0.0,17.4,100.0,3.0,True,False,,1,,7,2025
52,3740,25.0,male,fatal,True,car,,28.0,2025-01-06 09:40:00,collision,Attard,17.5,0.0,21.8,100.0,3.0,True,False,morning,1,9.666666666666666,6,2025
681,3740,,female,serious,False,,,29.0,2025-01-06 21:00:00,collision,Fgura,16.2,0.0,14.9,100.0,3.0,True,False,night,1,21.0,6,2025
682,3740,,female,minor,False,,,29.0,2025-01-06 21:00:00,collision,Fgura,16.2,0.0,14.9,100.0,3.0,True,False,night,1,21.0,6,2025
53,3740,20.0,,none,True,truck,,29.0,2025-01-06 21:00:00,collision,Fgura,16.2,0.0,14.9,100.0,3.0,True,False,night,1,21.0,6,2025
54,3704,25.0,male,fatal,True,car,,30.0,2025-01-08 21:00:00,collision,,16.3,0.0,26.1,14.0,0.0,True,False,night,1,21.0,8,2025
56,3704,13.0,female,serious,False,,,30.0,2025-01-08 21:00:00,collision,,16.3,0.0,26.1,14.0,0.0,True,False,night,1,21.0,8,2025
57,3704,25.0,,none,True,car,,30.0,2025-01-08 21:00:00,collision,,16.3,0.0,26.1,14.0,0.0,True,False,night,1,21.0,8,2025
58,3699,25.0,male,fatal,True,car,,31.0,2025-01-08 00:00:00,collision,Attard,15.6,0.0,20.3,8.0,0.0,True,False,,1,,8,2025
59,3671,83.0,female,serious,False,car,,32.0,2025-01-09 11:00:00,collision,Rabat,15.8,0.0,11.8,0.0,0.0,True,False,morning,1,11.0,9,2025
60,3671,56.0,female,minor,True,car,,32.0,2025-01-09 11:00:00,collision,Rabat,15.8,0.0,11.8,0.0,0.0,True,False,morning,1,11.0,9,2025
61,3653,21.0,male,fatal,False,car,,33.0,2025-01-11 00:00:00,collision,Swieqi,15.8,0.0,29.5,90.0,3.0,False,False,,1,,11,2025
62,3653,22.0,male,none,True,car,,33.0,2025-01-11 00:00:00,collision,Swieqi,15.8,0.0,29.5,90.0,3.0,False,False,,1,,11,2025
66,3601,30.0,male,none,True,motorcycle,,35.0,2025-01-15 08:00:00,motorcycle_fall,Tal-Barrani,12.6,0.0,23.7,22.0,1.0,True,False,morning,1,8.0,15,2025
683,3601,21.0,male,,True,motorcycle,,34.0,2025-01-15 07:45:00,collision,Marsa,12.6,0.0,23.7,22.0,1.0,True,False,morning,1,7.75,15,2025
67,3601,21.0,female,none,True,car,,34.0,2025-01-15 07:45:00,collision,Marsa,12.6,0.0,23.7,22.0,1.0,True,False,morning,1,7.75,15,2025
684,3586,36.0,,none,True,car,,36.0,2025-01-15 16:45:00,collision,Sliema,11.6,0.6,10.1,90.0,53.0,True,False,afternoon,1,16.75,15,2025
68,3586,63.0,male,none,False,,,36.0,2025-01-15 16:45:00,collision,Sliema,11.6,0.6,10.1,90.0,53.0,True,False,afternoon,1,16.75,15,2025
69,3551,34.0,male,serious,True,motorcycle,,37.0,2025-01-16 10:15:00,collision,Naxxar,13.9,0.0,5.2,6.0,0.0,True,False,morning,1,10.25,16,2025
70,3551,45.0,female,none,False,,,37.0,2025-01-16 10:15:00,collision,Naxxar,13.9,0.0,5.2,6.0,0.0,True,False,morning,1,10.25,16,2025
71,3558,44.0,male,none,True,car,,38.0,2025-01-16 00:00:00,collision,Valletta,9.8,0.0,1.8,20.0,1.0,True,False,,1,,16,2025
72,3558,25.0,male,fatal,False,,,38.0,2025-01-16 00:00:00,collision,Valletta,9.8,0.0,1.8,20.0,1.0,True,False,,1,,16,2025
73,3588,25.0,male,fatal,False,,,39.0,2025-01-16 21:00:00,collision,St Julian's,14.1,0.8,19.2,100.0,53.0,True,False,night,1,21.0,16,2025
74,3588,44.0,male,none,True,car,,39.0,2025-01-16 21:00:00,collision,St Julian's,14.1,0.8,19.2,100.0,53.0,True,False,night,1,21.0,16,2025
76,3456,51.0,male,serious,True,motorcycle,,40.0,2025-01-22 18:00:00,unknown,Sliema,14.8,0.0,8.0,73.0,2.0,True,False,evening,1,18.0,22,2025
77,3456,47.0,,none,True,car,,40.0,2025-01-22 18:00:00,unknown,Sliema,14.8,0.0,8.0,73.0,2.0,True,False,evening,1,18.0,22,2025
