,id,url,source_name,source_url,title,subtitle,author_name,publish_date,content,top_image_url,top_image_caption,created_at,tags,categories
26,3827,https://timesofmalta.com/article/police-issue-400-traffic-charges-fines-christmas-period.1103157,Times of Malta,https://timesofmalta.com,Police issue 400 traffic charges and fines over Christmas period,"Amid a lack of serious traffic accidents, 4,700 inspections were carried out",Times of Malta,01/01/2025,"Police presence on Malta's roads saw officers issuing over 400 traffic charges and fines during the Christmas period, the Malta Police Force said on Wednesday.  In the ten days between December 22 and 31, police officers carried out 170 road checks, stopping 4,700 vehicles and issuing more than 400 fines.  Over 85 speeding tickets were issued thanks to gun inspections while 11 drivers tested positive during a breathalyser test.  Several vehicles were also towed due to having invalid or expired road licenses.  Police doing their rounds also distributed educational material on parked cars to discourage drunk driving.  Other infringements included drivers caught without a valid license, using mobile phones while driving and drivers not wearing seat belts.  ""These road inspections were coordinated by the Police Corps, with the assistance of officers from Transport Malta. This exercise of road inspections will not stop at the end of the New Year celebrations but will continue throughout the year to ensure safer roads in Malta and Gozo,"" a police spokesperson said.  ""The Police Corps thanks everyone for their cooperation, which has allowed us to have safe roads with no serious accidents during these festive days.""",https://cdn-attachments.timesofmalta.com/61f2fa55605b836aa7bcb5eb8da0dcc49ddcb06c-1735729782-79cf0633-1920x1280.jpg,Police carrying out inspections. Photo: Malta Police Corps Communications Office,2025-07-03 15:12:43.810568+00,"{Community,National,Police,Traffic}",{}
35,3699,https://timesofmalta.com/article/today-front-pages-january-8-2025.1103404,Times of Malta,https://timesofmalta.com,"Today's front pages - January 8, 2025",The top stories in Malta's newspapers,Times of Malta,08/01/2025,"The following are the top stories in Malta's newspapers on Wednesday. All newspapers lead with news that Alejandro Brincat, 25, died when the car he was driving jumped a crash barrier in Attard and smashed into a tree and a signpost late on Monday. Times of Malta also reports on its front page that environmental activists and the Opposition expressed their shock at former Planning Authority CEO Johann Buttigieg's reappointment. The Malta Independent meanwhile reports that Buttigieg officially found out about his appointment as PA CEO through the media.  MaltaToday leads with data showing that applications for planning permits increased by 12% for 2024. In-Nazzjon publishes comments by PN leader Bernard Grech who insisted that the Attorney General should publish the 17 Black inquiry.  L-orizzont focuses on the government's presentation of the island's plan for energy and climate to the European Commission.",https://cdn-attachments.timesofmalta.com/46443f9f0a372d046e1cfdf631042589d0d27043-1736320971-9d1300bd-1920x1280.jpg,File photo: Times of Malta,2025-07-03 15:12:10.927905+00,"{""17 Black"",Accident,Attard,Energy,National,""Planning Authority"",Pn}",{}
48,3535,https://timesofmalta.com/article/watch-i-picked-dead-child-off-mgarr-road-residents-urge-safety.1103909,Times of Malta,https://timesofmalta.com,Watch: 'I picked up a dead child off Mgarr Road'- residents urge safety measures,"For decades, residents have called for a speed camera or other traffic calming measures on one of Gozo's 'deadliest' roads",Mark Laurence Zammit,20/01/2025,"Two Ghajnsielem residents and the locality's mayor have opened up about their concerns over a decades-long fight to install a speed camera or other traffic calming measures on one of Gozo's ""deadliest"" roads. Resident and long-time councillor Stephen Mercieca says he has seen more horrors than he can count on that street, and Alex Spiteri is just one of the many residents who had their cars or their front porches smashed in the middle of the night. Times of Malta visited the road leading to the ferry, where Ghajnsielem residents have long pleaded with authorities to install a speed camera along the notorious stretch plagued by serious and even fatal accidents. While some measures, like black spot signs, were installed, residents and the local council insist it has been hardly enough to deter speeding drivers.",https://cdn-attachments.timesofmalta.com/b2794b17d401e6d9f8852909074779027d02e2f4-1737296219-159a36b1-1920x1280.jpg,"The road is a hot bed of accidents because it is both a main road – one of the busiest in Gozo – and a residential road, through which many drivers speed as they attempt to catch the ferry on time.",2025-07-03 15:11:28.419825+00,"{Gozo,National,Police,Traffic}",{}
79,2873,https://timesofmalta.com/article/st-paul-bay-inaugurates-garden-memory-kacey-sciberras.1105463,Times of Malta,https://timesofmalta.com,"St Paul's Bay garden named after Kacey Sciberras, teen killed in crash","17-year-old, who died in a 2023 traffic accident, honoured for her dedication to the community",Emma Borg,20/02/2025,"A new garden has been inaugurated in St Paul's Bay and dedicated to the memory of Kacey Sciberras, the 17-year-old who died in a traffic accident in 2023. The Kacey Sciberras Garden, located near Piscopo Cash and Carry in St Paul's Bay, was opened by Environment Minister Miriam Dalli and the St Paul's Bay Local Council. Sciberras died in a crash on the Central Link road in Attard when the Chevrolet Aveo she was riding in lost control. She died on the spot. St Paul's Bay mayor Censu Galea explained that the idea for the garden was first proposed by the previous council before last year's election. ""She was so active in the local festa committee that the council wanted to dedicate part of the garden to her,"" Galea said. He added that after he became mayor, and with the help of Project Green, they managed to expand the space dedicated to Sciberras. Sciberras was an active member of her local festa committee, Kumitat Zghazagh Gawhrin. The mayor praised her commitment to the community. ""Let's hope her memory will inspire other young people to engage in community activities."" Sciberras was also a student at the Institute of Tourism Studies (ITS) and served as the student council president. Sandra Gauci, a St Paul's Bay councillor, used the occasion to highlight the need for greater road safety measures in Malta. ""This could have been avoided if we had more seriousness and discipline on our roads,"" she said. ""It is our duty as politicians to protect people on the road as much as possible,"" she added.",https://cdn-attachments.timesofmalta.com/638c80521d7f1fc55b92045f1a39ad02071873c5-1740060268-c11b38da-1920x1280.jpg,Kacey Sciberras Garden has now opened in St Pauls Bay Photo: Sandra Gauci Facebook,2025-07-03 15:08:34.884276+00,"{Accident,National,""Project Green"",Traffic}",{}
102,2092,https://timesofmalta.com/article/architects-urge-10year-inspections-two-balconies-collapse-week.1107450,Times of Malta,https://timesofmalta.com,Architects urge 10-year inspections after two balconies collapse in a week,BCA confirms construction site was not to blame for Qawra collapse,Matthew Bonanno,01/04/2025,"The Kamra tal-Periti has renewed its call for buildings to be inspected for structural issues every 10 years after two separate balconies collapsed last week. The first collapse happened in Qawra in the early hours of Monday morning, just two hours after the owner of a popular bar on Imrejkba Street had called last orders and closed for the night.  The balcony of the third-floor apartment fell onto the second-floor apartment's balcony, causing both to crash down onto the bar's terrace below. Two days later, a stone balcony in Zabbar collapsed onto the pavement below. No one was injured in either incident. The block where the Qawra collapse occurred is located next door to a construction site where 39 apartments and 33 garages are being developed. Following the collapse, the Building and Construction Authority (BCA) issued a stop works notice for the site. However, the notice was reversed soon after and works were allowed to continue. On Thursday, the BCA confirmed that after a professional assessment, it had deemed that work on the site was not responsible for the collapse of the balconies.  The architect said regular inspections were part of a wider overhaul of the regulatory processes and standards involved in the building and construction industry that the chamber had been working on. Point 10 of these proposals calls for ""post-occupancy checks and audits to be undertaken as pre-determined by the Building and Construction Authority to ensure the continued compliance of the structure with building regulations"". Such checks, Pizzuto said, could also include compliance with fire safety regulations, as well as the electrical wiring and lifts of a property. ""How often these checks occur, and whether they are also carried out on existing buildings is something the government would have to decide on. Ultimately, it has to weigh the cost of carrying out such inspections against the risk of further collapses,"" he said, adding that disused buildings and those located near the sea should be checked even more frequently.",https://cdn-attachments.timesofmalta.com/01a4361c1d9a9464ec6cfbff9a0bbf74c908b960-1743439651-32749ebd-1920x1280.jpg,"Debris in High Street, Sliema, after a balcony collapsed in 2021. Photo: Jonathan Borg",2025-07-03 15:05:18.679446+00,"{Accident,Architecture,Construction,National}",{}
105,2022,https://timesofmalta.com/article/pn-slams-lack-detail-trafficrelief-plans.1107597,Times of Malta,https://timesofmalta.com,PN slams lack of detail in traffic-relief plans,"Existing infrastructure for alternative transport is not good enough to convince people to ditch their cars, says shadow transport minister.",Matthew Bonanno,03/04/2025,"Updated 8.30pm with PL response The Nationalist Party has criticised the government for failing to divulge the exact goals of its proposed measures to tackle Malta's traffic woes.  Last week, Transport Minister Chris Bonnet unveiled a series of incentives designed to reduce the number of cars on the country's roads.   These include an offer of €25,000 to drivers willing to give up their car and licence for five years, a proposal to pay 17-year-olds €1,500 a year for four years to ride scooters instead of driving cars, as well as shifting road services such as rubbish collection to off-peak hours.   At a press conference in Msida on Thursday afternoon, shadow minister for transport Mark Anthony Sammut said the least he expected from the government was for it to share its targets.  ""For example, how many cars it wants to be removed from the roads, how many youths will put off getting a licence, or how many people will swap their cars for bikes,"" Sammut said.  Experts who spoke to Times of Malta said the cash incentive of €25,000 would only result in a maximum of 2,500 fewer drivers - or less than one per cent of all drivers in the country - on the road this year.   Sammut said the government was approaching the problem from the wrong direction.  ""Before trying to get people to give up their cars, the government has to ensure there are alternative means of transport. We still don't have a plan for a mass-transit system. Before the election the government spent €2 million promoting a metro, and now says it isn't a priority,"" he said.  Turning to two-wheeled transport methods such as cycling, Sammut said that the necessary infrastructure had to be in place before commuters were encouraged to make the switch.  ""Instead, the transport minister says, 'We'll see depending on how many people take up the incentives',"" he said, adding that people's biggest worry was the lack of safety on the roads.  Sammut insisted that the Opposition agreed with several of the government's proposals because it had proposed them itself years ago, namely rubbish collection outside of peak hours, the plan to add a cargo-only shipping route between Malta and Gozo, as well as national strategies on walking and cycling.  ""On the other hand, we disagree with increasing Transport Malta's budget by an exorbitant amount. People are not being hired and promoted because they are competent and experienced, but because they are die-hard Labour supporters or people suggested by the minister or Castille,"" he said.   Sammut said that if the government wanted to tackle traffic, it needed to shift the country's economic model away from the importation of foreign labour.  Fellow PN MP David Agius said he was late to the start of the press conference because he himself got stuck in traffic following a collision in Marsa.  He called on the government to reverse its plan to increase the number of years after which a car is deemed to be classic from 30 to 35 years.  ""Not only will this increase the number of cars on the roads, since vintage cars can only be driven a maximum of 3,000 kilometres a year, but also because we believe this hobby should be supported,"" he said.  Consultation - PL In a statement issued Thursday evening, the Labour Party pointed out before the measures were launched consultation was held about the proposals with experts, social partners and the public.  The PL accused the PN of not wantintg transport to be addressed in Malta, adding that the opposition's mass transport option could take ""decades"" to implement. ""The current needs are of no interest for them,"" the Labour Party said.",https://cdn-attachments.timesofmalta.com/1f0dff275831534b5a03d60c09841b7a7da22aa3-1743686575-b247451c-1920x1280.jpg,PN's Mark Anthony Sammut said the government had failed to divulge the precise targets of its incentives. Photo: Partit Nazzjonalista,2025-07-03 15:04:59.468533+00,"{National,Pn,Traffic}",{}
124,1387,https://timesofmalta.com/article/traffic-accidents-decreased-road-fatalities-up-new-data-shows.1109313,Times of Malta,https://timesofmalta.com,"Traffic accidents have decreased, but road fatalities are up, new data shows",Three drivers and one pedestrian died,Times of Malta,07/05/2025,"There was a significant 9% drop in traffic accidents in the first quarter of this year compared to the same period last year, according to data issued on Wednesday by the National Statistics Office. Casualties were down by 11.9% but the number of fatalities, at four, was up by three over the same period in 2024. The NSO said there were 3,468 reported accidents in the first three months of this year. In contrast, there were 3,811 accidents in the first months of 2024, down by 0.3 per cent over the same period in 2023 according to an NSO press release issued in May last year. The Northern Harbour district registered the highest number of accidents in the opening months of this year, at 1,178, almost a third of all accidents. Road traffic casualties decreased by 11.9 per cent to 297 over the same period in 2024. Grievously injured persons amounted to 78, and consisted of 42 drivers, 13 passengers and 23 pedestrians/cyclists/others. The injuries suffered by three drivers and one pedestrian proved fatal. Three of the fatalities were men and one woman. The majority of those grievously injured were males (69.2 per cent). 33.7 per cent of the casualties involved persons in the 26 to 40 age bracket. The largest number of road traffic casualties (51.9 per cent) involved passenger cars, followed by motorcycles (31.6 per cent) and goods-carrying vehicles (8.1 per cent). The fatalities included three drivers crashing into a property and a pedestrian being hit by a vehicle. Cyclists involved in traffic accidents amounted to six, where three suffered grievous injuries and three suffered slight injuries. Road traffic casualties resulting from accidents between vehicles topped the list with 65.0 per cent of all road traffic casualties. The highest number of road traffic casualties occurred on Mondays with 59 casualties, and the highest number of road traffic accidents occurred on Fridays with 564 cases or 16.3 per cent of the total. The highest number of road traffic accidents occurred between 9am and noon. with 778 cases or 22.4 per cent of the total, followed by those occurring between 13-6pm, with 755 cases.",https://cdn-attachments.timesofmalta.com/826c3ec15308c808b05b8e648c1b05fb30657912-1746610069-f94e5992-1920x1280.jpg,A crash on the Birkirkara Bypass in early January. Police photo.,2025-07-03 15:02:09.231368+00,"{National,Traffic}",{}
126,1352,https://timesofmalta.com/article/motorcyclist-injured-pothole-incident-awarded-74000.1109423,Times of Malta,https://timesofmalta.com,"Motorcyclist injured in pothole incident awarded €74,000",The incident took place over five years ago in Siggiewi,Monique Agius,09/05/2025,"A 39-year-old Turkish national has been awarded over €74,000 in damages following an accident in Siggiewi which left him suffering from a permanent disability. The man was driving his Piaggio Vespa along Triq Ghar Lapsi on May 2, 2020, when he stumbled into a pothole, lost his balance and fell off the motorcycle. He was taken to Mater Dei Hospital where he was certified with grievous injuries. Following the incident, the man returned to Turkey since he needed treatment, and the coronavirus pandemic had hit. He also underwent several surgical interventions. As a result of the incident, he sustained permanent disability, which harmed his quality of life. The man eventually returned to Malta. Through his lawyers, he filed an application before the First Hall of the Civil Court, suing the Siggiewi Local Council and Infrastructure Malta. He requested the court to hold both responsible for the incident and order them to pay him damages. Both Infrastructure Malta and the Siggiewi local council argued that they were not suited, with the road agency arguing that the council was responsible for maintaining the road, while the local council argued that it was in the hands of the agency. In court, the man testified that as he was driving along Triq Ghar Lapsi, direction towards Dingli cliffs, a few meters after he turned the corner, the condition of the road changed dramatically. Who is responsible for the road? He described how the road level went down by a few metres before he drove into a pothole. Moreover, there were no signs that the road surface would deteriorate, and the man said he had no reason to believe that the road surface would change in such a manner. John Fenech from Elles Urban Services Ltd - a company engaged by the council to maintain the roads - acknowledged that the road was in a state of disrepair and it had to be resurfaced. He also testified that the damage to the road was primarily attributable to the frequent passage of heavy vehicles in the service of nearby quarries. He added that the road was not built to take the weight of the vehicles. A police constable similarly testified that the road was in a bad state, noting that there were several cracks in the asphalt and potholes. In establishing who was responsible for the road, the court heard architect David Vassallo from Infrastructure Malta. The witness said the road fell under the responsibility of the local council, however, the road agency intervened and issued an emergency allocation to contractor Philip Agius and Sons for €1.5 million, excluding VAT, in December 2020. The council's executive secretary, Ritianne Giorgino, told the court that while it was within the council's boundary, the local council is responsible for maintenance or patching works, while resurfacing falls under the responsibility of the local government. Referring to the mayor's affidavit, the court observed that while it was outlined that the council has several structures to monitor and ascertain that roads are kept in a good state of repair, this was not the case and notwithstanding the ""layers of surveillance adopted by the Council, somewhere down the line, somebody is not doing his job properly or else the technical operandi is not functioning."" The court reminded how the road is used by heavy vehicles and therefore, the road should have been monitored more closely and frequently. It also observed that it was only after the plaintiff was injured that the road was properly repaired. The court concluded that the council was wholly to blame for the accident.  When it came to calculating damages, it took into consideration that 21 months after the accident, the man's radial nerve did not make a full recovery, and this was most likely improbable. It also took into consideration the court-appointed expert's observations on the fracture of the distal tibia, which involved an articular surface of the ankle joint and will inevitably lead to arthritic change. The motorcyclist also ended up with substantial amounts of metal implants attached to the humerus and tibia. These foreign bodies provide a slightly increased risk of bone infection during bacetermia, according to the expert. After calculating the damages, the court declared the Siggiewi local council responsible for the incident and ordered it to pay the man €74,873. Mr Justice Toni Abela presided over the court. Lawyers Kris Busietta and Alessandro Farrugia assisted the plaintiff.",https://cdn-attachments.timesofmalta.com/f4236188329124bddbbad50e859307dd7dc161c1-1746769106-b6ac4f28-1920x1280.png,"The accident, which happened back in May 2020, happened in Triq Għar Lapsi in Siġġiewi. Photo: Google Maps",2025-07-03 15:02:00.214854+00,"{Accident,Court,National,Roads,Siġġiewi,Transport}",{}
140,894,https://timesofmalta.com/article/share-first-think-later-when-citizen-journalism-crosses-ethical-lines.1110487,Times of Malta,https://timesofmalta.com,"Share first, think later: When 'citizen journalism' crosses ethical lines",Graphic images of tragedies spread like wildfire on social media. Why?,Claudia Calleja,29/05/2025,"Photographing and sharing images of tragic accidents on social media is ""citizen journalism at its worst"" and highlights the urgent need to focus on digital education across the nation, according to experts in communication and human behaviour. The issue came to light once again following a recent fatal traffic accident in which a motorcyclist died on the spot. After the accident, graphic photos were shared extensively via WhatsApp. This had also happened some months ago when footage of another fatal accident, that involved a car losing control, made the rounds on social media. Prof. Anton Grech, clinical chairman of Mental Health Services, explained that while human curiosity in the case of unusual or dramatic situations is normal - a phenomenon known as rubbernecking - social media amplified this. These actions - of taking and sharing images of tragic situations - were a reflection of a larger situation, he said. Before social media existed there were 'celebrities' and 'spectators'. Social media brought with it a shift in which many people wanted to be protagonists. This was happening in a virtual environment that is saturated with content and, in which, in order to be seen and stand out, the content has to be attention-grabbing. ""In parallel with this, we are losing respect for the society around us. We saw this in a recent case when a man was threatening to jump off the Valletta bastions,"" he said, referring to the 2021 case when onlookers urged a man to jump from the edge of a Valletta bastion, with many filming the ordeal. ""Many people seize all opportunities to gain this recognition without respect for others,"" he said, adding that there was an urgent need to educate people on this matter. Prof. Brenda Murphy, a media and gender expert and founder of NGO Mediating Women, agreed that there was the urgent need for more media education - in schools and beyond - through curriculum and public campaigns. ""This is a public education issue - we need to re-establish digital boundaries. We need to remind people that our duty of care doesn't disappear when we are online,"" she said. Such cases, she said, were ""citizen journalism at its worst"" as they offered ""a great snapshot of the widening gaps in 'news production'"". ""Journalists and editors are trained, educated, bound by professional regulation - citizens operate without any of these guardrails. While citizen journalism was lauded as a great liberator for information - this is an example of a great backfire,"" she said. A deeply problematic phenomenon Murphy explained that the sharing of such images was a ""deeply problematic phenomenon"" that reflects multiple pressures converging at the moment. From a digital culture perspective, she said, we are living in a world where everything is documented, and the boundary between private and public is becoming increasingly eroded. ""In the case of tragic moments, there seems to be an underlying belief that if something shocking happens, it should be recorded and shared. The algorithms that drive social media amplify this. They reward visibility, and sadly that includes tragic events,"" she said. Then there was the conversation on media ethics.  ""We may have the capacity to capture something digitally, but that doesn't mean we should. Sharing media content has become so normalised it completely breaches the private-public boundary. We need to be mindful that sharing a traumatic event compounds trauma - not just for the family and friends but the wider community is impacted too. We cannot justify this 'norm drift' by saying 'it's already out there, so it's ok to repost',"" she said.",https://cdn-attachments.timesofmalta.com/f302addf97be4fc26709e2b49a5e720146591bf8-1748449827-81b636e5-1920x1280.jpg,Sharing media content has become so normalised it completely breaches the private-public boundary. Photo: Shutterstock.com,2025-07-03 14:59:54.173761+00,"{Accident,National,""Social Media"",Traffic}",{}
143,695,https://timesofmalta.com/article/could-road-quality-leading-accidents-new-policing-unit-plans-find.1111015,Times of Malta,https://timesofmalta.com,Could road quality be leading to accidents? New policing unit plans to find out,The unit has dealt with one fatality and 20 accidents involving injuries,Marc Galdes,06/06/2025,"A newly formed Road Policing Unit will be able to determine how and whether the quality of the roads are contributing to traffic accidents.  During a media briefing on Friday, the unit demonstrated how it works. A police car is equipped with a special device linked to a gyroscope on the roof. As the car drives over the road, the device measures the quality of the road surface. During the demonstration, a car sped down the road towards a mock traffic accident and made a sudden stop. The device within the car printed out a piece of paper that included data that helps police understand if poor road conditions may have played a role in a crash. They also need to take other factors into account, such as whether the road is wet or sloped.  They placed numbered yellow cones, which help to identify the evidence as investigations are carried out later on. Depending on the gravity of the situation, the police might even deploy a drone to get a shot of the accident and the surrounding area. The pictures the drone takes can then be used to develop a 3D image of the site, which is then reviewed in their offices. The data collected from this investigation is then passed on to the magistrate who is dealing with the case. The police initially announced that they would be setting up this new unit earlier this year after the death of motorcyclist Dieter Vink, who crashed into a skip in December 2024.",https://cdn-attachments.timesofmalta.com/85ef0aad7a335fa0c2838228448925db68c1faaa-1749211426-1b336bbd-1920x1280.jpeg,Members of the roads policing unit carrying out a demonstration. Photo: Chris Sant Fournier,2025-07-03 14:59:02.816278+00,"{Accident,National,Police,Traffic}",{}
