id,url,source_name,source_url,title,subtitle,author_name,publish_date,content,top_image_url,top_image_caption,created_at,tags,categories
4167,https://timesofmalta.com/article/pn-slams-government-diverting-eu-bus-funds-electric-private-cars.1102208,Times of Malta,https://timesofmalta.com,PN slams government for diverting EU bus funds to electric private cars,"'By encouraging the use of private cars, the government will make the traffic situation worse'",Times of Malta,09/12/2024,"The PN on Monday slammed the government for diverting EU funds that were meant to be used to electrify Malta's public transport to fund subsidies for electric private cars. By encouraging the use of private cars, the government would make the traffic situation on the island even worse, three party spokespeople told a press conference at the Marsa park-and-ride on Monday. Last week, the PN revealed that the government had ""secretly"" withdrawn plans to receive over €40 million in EU funding to spend on updating Malta's bus fleet. As a result, the private company that runs the public transport system said its plans to electrify Malta's bus fleet ""cannot go ahead"". In reply to questions by Times of Malta, Prime Minister Robert Abela confirmed the funds that were going to be used for the project will instead go to people to electrify their private cars. But for the PN, switching diesel-powered buses to electric ones would have been a crucial initiative to reduce emissions and combat climate change. ""Since these buses operate throughout the day on our roads, they should be the first priority in the electrification of Malta's vehicle fleet. ""Instead, Robert Abela made the meaningless decision to withdraw the allocation of these funds, leaving diesel buses on the roads while redirecting funds to more private cars, worsening traffic. This comes after the government reduced the grant for private electric cars in the recent budget from €11,000 to €8,000."" Spokespeople Mark Anthony Sammut, Ryan Callus, and Eve Borg Bonello told the media on Monday that the decision to withdraw from the €34 million agreement with the European Commission would also result in the loss of €7 million in EU funds for charging stations and another €50 million in private investment for cleaner air. ""This reckless decision by Abela confirms his lack of direction and how quality is discarded with every decision he makes. ""If he really needed to cut funds, Abela should have reduced wasteful spending on core government insiders and the corruption that has engulfed his administration,"" they said, adding that quality of life depended on clean air. They added that due to PL's incompetence, people's health will continue to suffer from the exhaust fumes of diesel-powered buses passing past pedestrians. ""The PN is the only solution for the Maltese people. We promise electrified mass transport that will not only reduce emissions on our roads but also provide an efficient and adequate service. ""Above all, we promise accountability and seriousness in public spending and in the use of European funds in the interest of the common good, not just for the privileged few."" PL reacts Reacting to the PN's press conference, the PL said in a statement the Opposition's true colours were revealed on Monday morning. ""Under a Nationalist government, the thousands of grants given for a person to switch from traditional fuel to electrification of a vehicle will no longer be given,"" the PL claimed. The party said that a Labour government will, on the other hand, continue providing incentives to those who opt for an electric vehicle. The incentives will not just apply to the purchase of a car but also when it comes to the registration and circulation tax relief from the road licence. ""Strong initiatives for those who make the choice to go for a private vehicle, with the least possible environmental damage."" That is the difference between austerity measures and incentivising people.",https://cdn-attachments.timesofmalta.com/d9afed3585f97c0ad8a1b9e4d69effd36a538a66-1733749387-397c9983-1920x1280.jpg,"PN spokespeople Ryan Callus, Mark Anthony Sammut and Eve Borg Bonello. Photo: Partit Nazzjonalista",2025-07-03 15:14:10.643172+00,"{""Climate Change"",Environment,""European Union"",National,Pn,Traffic}",{}
3999,https://timesofmalta.com/article/where-transport-safety-investigative-commission.1102573,Times of Malta,https://timesofmalta.com,Doctors ask: Where is the Transport Safety Investigative Commission?,"Commission was promised in 2022, doctors point out",Times of Malta,17/12/2024,"A promised Transport Safety Investigative Commission whose setting up was promised in December 2022 has still not materialised, the Doctors for Road Safety said on Tuesday. The NGO noted the recent 'horrific' crashes and expressed condolences to the victims. The promised commission, it said, was essential to investigate such crashes and bring about changes to prevent their reoccurrence. The setting up of the commission, it recalled, was promised following the first National Road Safety Conference it organised in 2022.  ""This lethargy is symptomatic of road safety not being given its urgent due priority by policymakers in this country."" The NGO urged road users to be cautious and attentive on the roads, especially during the festive season. Last September, the Insurance Association of Malta also expressed concern about the delayed Transport Safety Investigation Commission and the Road Safety Bureau that was to be part of it.  Currently, magisterial inquiries and police investigations are the only methods of investigating road accidents in Malta. These inquiries determine civil or criminal liabilities, and their conclusions generally remain confidential. Times of Malta had reported that the bureau was delayed by the judiciary's hesitancy to share the contents of magisterial inquiries owing to the confidentiality of investigations and the privacy of those involved.  In April, Times of Malta also reported that the existing Road Safety Council, which brings together road safety stakeholders, had not met since appointing a new chairman five months previously.",https://cdn-attachments.timesofmalta.com/bf280bc20421e4393b874eb468d19a01255070b4-1734438585-2fca9fa2-1920x1280.jpeg,Doctors and insurers have complained about the delay in setting up a professional body to investigate the causes of traffic accidents. File photo.,2025-07-03 15:13:27.107065+00,"{National,Traffic}",{}
3929,https://timesofmalta.com/article/no-access-ta-xbiex-msida-valley-january.1102868,Times of Malta,https://timesofmalta.com,No access from Ta' Xbiex to Msida valley from January,New routes announced around Msida Creek project,Times of Malta,24/12/2024,"There will be no direct access from Ta' Xbiex to the Msida valley from January 2, as part of new traffic arrangements surrounding the Msida Creek project.  Infrastructure Malta said on Tuesday that as of Thursday, January 2, new routes would come into effect around the area.  Access from Ta' Xbiex to Msida Valley will be closed, and a temporary road near the General Workers Union monument will provide direct access from Valletta to Ta' Xbiex, Gzira and Sliema. Infrastructure Malta advised motorists to use alternative routes from either Regional Road of the Kappara Junction when travelling from Ta' Xbiex to the Msida Valley.  Vehicles will no longer be able to turn around the monument back towards Valley Road.  Last month, at the start of the project, pedestrians were forced to step off their route and share the road with passenger vehicles due to the ongoing work, but it was quickly reinstated a few days later.",https://cdn-attachments.timesofmalta.com/1da013f950d59ac99a7106dfc90b1dd62424779c-1735042918-a1016423-1920x1280.jpg,The new routes around the Msida Creek project. Photo: Infrastructure Malta,2025-07-03 15:13:09.728904+00,"{Infrastructure,Msida,National,Traffic,Transport}",{}
3905,https://timesofmalta.com/article/watch-family-back-home-christmas-fire-destroyed-home-last-year.1102869,Times of Malta,https://timesofmalta.com,Watch: Family back home for Christmas after fire destroyed their home last year,Mother thanks people for all the help received to rebuild their home,Claudia Calleja,25/12/2024,"This year Christine Gatt and her family will be celebrating Christmas at their Paola home - after spending most of the year putting it back together when it was wrecked by a terrifying fire just before Christmas 2023. ""We spent nine months coming to our home every evening to scrub and clean our charred home. We had to go through all our belongings, throw out what could not be saved and save what we could. We cleaned, scraped and scrubbed walls, floors and ceilings. We did most of the work ourselves, but help came in from everywhere. People gave us furniture, clothes, food and even new tiles and a kitchen,"" says Christine as she stands in front of their donated Christmas tree together with her husband, Patrick, and their two young sons Zaylen, six, and Zyon, three.   Slowly things started taking shape. Her husband's employer provided the replacement tiles and they got help with the plastering. Now they are mostly done, but they still have missing doors and windows which are currently replaced by curtains or plywood planks. They also need to finish their bathroom which is currently make-shift. But Christine is determined to stay positive. Even though, as the anniversary of the fire approached, she started getting anxious.  With the support of a psychologist, she managed to push through her fears and decorated for Christmas this year again. She also had great help from her friend, Romina, who supported her emotionally and helped her settle back in.  ""We managed to get here with the help of God and the help of so many people. And for that we are grateful,"" she says.",https://cdn-attachments.timesofmalta.com/4718f7f309d90782ba9351534864950b1cebfc8d-1735040281-09bc2788-1920x1280.jpeg,Zyon is happy to be home this Christmas. Photo: Matthew Mirabelli,2025-07-03 15:13:02.929143+00,"{Accident,Christmas,National}",{}
3743,https://timesofmalta.com/article/insurers-demand-roadside-testing-drugdriving-becomes-a-menace.1103351,Times of Malta,https://timesofmalta.com,Insurers demand roadside testing as drug-driving becomes 'a menace',Measures to deter drivers' abuse should be taken around the year,Times of Malta,06/01/2025,"Drug-driving has become a menace on Malta's roads and the police should introduce roadside drug testing without delay, like they do for drink driving, the Insurance Association Malta said. In a statement it praised the police for mounting 170 road checks, inspecting 4,700 vehicles, and issuing more than 400 fines during the Christmas period. But it insisted that such measures should not be limited to the festive season.    ""The risks associated with drink and drug-driving are not confined to the holiday season. Road safety should never be treated as a seasonal concern; it must remain a priority every single day,"" the association stressed in a statement.   ""The fact that no serious traffic accidents were reported during this festive season was a testament to the effectiveness of these measures, it said.  ""While we wholeheartedly support these actions, we must also express our disappointment that similar roadside checks and initiatives are not conducted consistently throughout the year - drivers choosing to endanger their lives and those of innocent road users should face robust and unrelenting deterrence year-round,"" it said.  The association welcomed the use of breathalyser tests, which identified 11 drivers over the legal alcohol limit over the festive period, but it said tests should not be limited to drink-driving as drug-driving had become another menace on Malta's roads. It therefore urged the police to embark on drug roadside testing - in addition to alcohol testing - without further delay. It also called for the urgent appointment of a long-promised Transport Safety Investigative Commission, which should have been up and running by the end of 2023. ""We urge the authorities to take decisive action to uphold road safety, including the swift implementation of an accident investigation agency. As representatives of the insurance sector, we see firsthand the devastating consequences of road accidents, many of which could have been prevented through better enforcement and public education,"" the association said.",https://cdn-attachments.timesofmalta.com/4d3dce3ef2f381b5eff56a948b9488d904a6678b-1736171991-8531538d-1920x1280.jpg,"The police should test for drugs like they do for drink-driving, the Insurance Association said.",2025-07-03 15:12:21.635177+00,"{Drugs,National,Traffic}",{}
3635,https://timesofmalta.com/article/watch-road-safety-bureau-proposals-unveiled-yearlong-delay.1103631,Times of Malta,https://timesofmalta.com,Watch: Road Safety Bureau proposals to be unveiled after year-long delay,Minister says legislative changes will be needed,Emma Borg,13/01/2025,"The Transport Ministry is set to present its ideas for the establishment of a road safety bureau in the coming weeks, more than a year after the bureau was meant to be operational. The Transport Safety Investigative Commission will be tasked to investigate the causes of serious road accidents.  Minister Chris Bonett said on Monday that his ministry was holding talks with the Ministry of Justice and the Ministry of Home Affairs on the setting up of the bureau. ""In the coming weeks, we will present the first ideas on the bureau,"" Bonett said when questioned, saying that changes to laws will be required.    At present, magisterial inquiries and police investigations are the only tools available for the investigation of road accidents in Malta. Their findings typically remain confidential, which has drawn criticism from various quarters. Victims' families, insurers, and medical associations have condemned the delay in establishing the bureau, describing it as symptomatic of road safety being sidelined. During the press conference, Bonett also urged drivers to observe traffic rules and treat one another with respect. ""We must ensure that such bureaus and road safety councils are needed as little as possible,"" he said.",https://cdn-attachments.timesofmalta.com/f61d13ee30944b0f143553bbe8adcf0a96a94d68-1736776627-0dd63ba7-1920x1280.jpg,Photo: Matthew Mirabelli,2025-07-03 15:11:54.30228+00,"{Accident,National,Roads,Transport}",{}
3615,https://timesofmalta.com/article/traffic-fines-yield-government-11618725406-10-years.1103645,Times of Malta,https://timesofmalta.com,"Traffic fines yield government €116,187,254 in 10 years as police warn motorists","LESA working to recover outstanding funds, using warrants of seizure",Times of Malta,13/01/2025,"Payment of traffic fines earned the government €116,187,254 in the space of 10 years, according to information tabled in parliament by Home Affairs Minister Byron Camilleri. He told Nationalist MP Ivan Bartolo in reply to a question that between 2013 and 2023 the authorities issued 3,583,847 tickets for a value of  €133,811,122. A total of 3,287,066 ticket fines were paid, with a value of €116,187,254. Fines issued last year had a value of €16,215,744, more than twice that of 2013, with both the the number of cars on the roads and the nature of fines having increased.  The minister said LESA is working to recover outstanding funds and has issued 241 warrants of seizure to recover funds, which even go back to 2002.   Police warn motorists to observe the rules Meanwhile the police in a statement on Monday evening said they were committed to enforcing traffic regulations in the interests of safety. Over Christmas and the first two weeks of the month hundreds of vehicles were stopped and fines were issued for those found breaking the law. Among them were 84 cases of overspeeding in the past two weeks, the police said.  ""Motorists are reminded about the importance of observing speed limits and other traffic regulations since disrespect for regulations can have serious consequences for the motorists themselves and other road users,"" the police said.",https://cdn-attachments.timesofmalta.com/91c09f6427ecadecc07165f8a75e0bfde93f0c46-1736787097-687dee4f-1920x1280.jpg,Data tabled in parliament on Monday by Home Minister Byron Camilleri.,2025-07-03 15:11:49.174673+00,"{National,Traffic}",{}
3626,https://timesofmalta.com/article/watch-yellow-weather-warning-heavy-rain-batters-malta.1103687,Times of Malta,https://timesofmalta.com,Watch: Yellow weather warning as heavy rain batters Malta,Warnings of heavy traffic amid downpour,Times of Malta,14/01/2025,"Heavy rain battered Maltese roads on Tuesday afternoon as the Meteorological Office issued a warning for thundery showers.  Footage sent to Times of Malta shows motorists struggling to drive in a torrential downpour in San Gwann, with water levels lapping onto pavements and sinking several inches of car tyres.  Several motorists also reported heavy traffic building up in Gzira, Sliema and Kappara heading towards the south.   The Met Office warned that isolated thundery showers at times were expected to affect certain areas of the country.  The rest of the week is set to be characterised by stormy weather, as thundery showers are forecast for Tuesday and Wednesday.  On Wednesday, the country is set to experience Force 5 to 6 winds, later diminishing to Force 4 to 3. The Celsius is predicted to reach highs of 15°C with a low of 10°C forecast.   On Thursday, only isolated showers are predicted for the most part, but winds are set to pick up from Force 2 to 3 becoming a Force 4 to 5 later in the evening.  Friday is then set to be windy with isolated showers and a slight increase in temperature, with a forecast high of 17°C and a low of 13°C. Winds will remain at Force 5 to 6 early on Friday but are predicted to lower to Force 4 to 5.  The weather is forecast to stabilise over the weekend, with cloudy skies forecast on Saturday and Sunday.  If you have any images to share please email newsroom@timesofmalta.com",https://cdn-attachments.timesofmalta.com/38545cf57a00c8787cc01ad7b08114fc68b4c357-1736873779-7d355f23-1920x1280.png,Rising water levels seen in Msida on Tuesday. Photo: Malta Road Traffic Updates,2025-07-03 15:11:51.857217+00,"{National,Traffic,Weather}",{}
3563,https://timesofmalta.com/article/drivers-fume-large-pothole-leaves-trail-flat-tyres-birkirkara.1103856,Times of Malta,https://timesofmalta.com,Drivers fume as large pothole leaves trail of flat tyres in Iklin,Heavy rainfall carves out potholes just off Birkirkara bypass,Times of Malta,17/01/2025,"More than a dozen cars sustained flat tyres on Friday afternoon after heavy rains carved out a massive pothole on a busy road. Frustrated motorists contacted Times of Malta to report vehicle damage as they drove through Triq il-Gharghur in Iklin, corner with Triq Dun Karm, near the Scan outlet. ""It's mayhem here. Drivers are getting out of their cars, furious,"" one motorist said, describing the chaotic scene. One driver counted at least 12 cars sustaining flat tyres though he was sure others had simply driven on not realising the damage. Despite calls to the authorities to repair the pothole or divert traffic, no action had been taken by 4.30pm, leaving hundreds of drivers to navigate the treacherous road or rely on sheer luck.  A motorist claimed the pothole had been present for weeks, but Friday's heavy rain worsened the damage, while the flowing water concealed the hazard from drivers. Malta was battered by gale-force winds earlier in the day before a sudden downpour caused widespread flooding, worsening road conditions.",https://cdn-attachments.timesofmalta.com/b23b18c98c9b40b5a1f276a3dcf035d3aabe8133-1737128792-e47af554-1920x1280.jpeg,One of the cars was towed away.,2025-07-03 15:11:35.542695+00,"{Accident,Birkirkara,National}",{}
3497,https://timesofmalta.com/article/worker-injured-sliema-construction-site.1104015,Times of Malta,https://timesofmalta.com,Worker critically injured on Sliema construction site,He suffered serious injuries when a concrete pump exploded,Times of Malta,21/01/2025,"Updated Wednesday 7.45am A 25-year-old man was critically injured in a construction site accident in Sliema on Tuesday night.  The man, who is from Attard, suffered serious injuries when a concrete pump exploded. He was rushed to hospital following the 9pm incident and is being treated at Mater Dei for serious injuries.  The Tower Road site is in the process of being rebuilt into a seven-storey guesthouse with a hotel. Police were on site and the road from the Zara outlet to Tower Road was temporarily closed to traffic in the hours following the incident.  Magistrate Philip Galea Farrugia is leading an inquiry into the case.",https://cdn-attachments.timesofmalta.com/40d9c3ac4e22393a723527afbbe1dafc4ce873ba-1737493710-3b2be9b0-1920x1280.jpg,The accident happened on Tower Road.,2025-07-03 15:11:18.817967+00,"{Accident,National,Sliema}",{}
