person_id,article_id,age,gender,severity,is_driver,vehicle_type,person_state
0,4208,78,male,,True,car,
1,4093,54,male,serious,True,motorcycle,
2,4110,54,male,serious,True,motorcycle,
3,4066,17,female,serious,False,,
4,4066,52,male,,True,car,
5,4066,29,male,serious,True,car,
6,4066,29,male,critical,False,,
7,4066,50,,,False,,
8,4067,,male,fatal,False,,
9,4067,,male,,True,motorcycle,
10,4067,54,,fatal,True,motorcycle,
11,4067,,male,,False,,
12,4067,,male,,False,,
13,4087,54,male,fatal,True,motorcycle,
14,4049,,male,serious,True,motorcycle,
15,4049,86,female,,True,motorcycle,
16,4049,45,,,False,,
17,4034,,male,serious,False,,
18,4034,29,,,False,,
19,4007,,,,True,motorcycle,
20,4007,54,male,fatal,True,motorcycle,
21,4007,,female,,False,,
22,4024,54,male,fatal,True,motorcycle,
23,4014,52,male,,True,,
24,4014,43,female,,False,,
25,4014,46,male,,False,,
26,3991,30,female,serious,False,,
27,3976,72,female,,True,car,
28,3976,2,,serious,True,car,
29,3976,43,male,,False,,
30,3976,44,male,,False,,
31,3964,31,male,light,True,,
32,3964,40,male,serious,True,,
33,3964,27,female,,True,car,
34,3964,,,,True,motorcycle,
35,3964,29,male,,False,,
36,3966,13,female,grievous,False,,
37,3966,25,,,False,,
38,3938,37,female,critical,True,,
39,3938,39,female,,False,,
40,3910,37,male,fatal,True,,
41,3910,,,,True,,
42,3910,39,female,,False,,
43,3885,36,male,grievous,False,,
44,3900,62,female,serious,False,,
45,3900,25,,,True,truck,
46,3861,21,female,fatal,False,,drunk
47,3861,,male,fatal,True,car,
48,3861,17,female,,False,,
49,3861,,,,False,,
50,3861,,,,True,,
51,3834,,male,,True,,drunk
52,3834,,female,grievous,False,,
53,3766,72,male,,False,,
54,3766,66,female,,False,,
55,3766,28,male,grievous,False,,
56,3747,25,male,fatal,True,car,
57,3749,20,female,serious,True,truck,
58,3749,24,female,serious,False,,
59,3749,34,,grievous,False,,
60,3749,25,,fatal,False,,
61,3740,25,male,fatal,True,,
62,3740,20,female,,True,,
63,3704,25,male,fatal,False,,
64,3704,,male,,False,,
65,3704,13,female,grievous,True,car,
66,3699,25,male,fatal,False,,
67,3671,83,female,,False,,
68,3671,56,female,light,False,,
69,3671,,,,False,,
70,3653,21,male,fatal,False,,
71,3653,,male,,True,,
72,3653,22,male,fatal,False,,
73,3653,,female,,False,,
74,3653,,,,True,,
75,3601,30,male,,False,,
76,3601,,,,False,,
77,3601,21,male,,False,,
78,3601,21,female,,False,,
79,3586,63,male,,False,,
80,3586,,,,False,,
81,3586,36,,,False,,
82,3551,34,male,grievous,True,motorcycle,
83,3551,45,female,,True,car,
84,3558,44,male,fatal,True,car,
85,3558,25,male,fatal,False,,
86,3588,25,male,fatal,False,,
87,3588,44,male,,True,car,
88,3588,,male,,True,,
89,3588,17,,fatal,False,,
90,3456,,male,serious,True,motorcycle,
91,3456,47,,,True,car,
92,3456,51,,,True,motorcycle,
93,3442,36,male,fatal,False,,
94,3423,,male,fatal,False,,
95,3423,36,,,False,,
96,3408,46,male,fatal,False,,
97,3255,34,male,grievous,False,,
98,3255,30,male,,True,car,
99,3255,59,male,grievous,True,motorcycle,
100,3220,25,male,fatal,True,car,
101,3220,44,male,,True,,
102,3197,56,female,,True,motorcycle,
103,3197,,,serious,True,motorcycle,
104,3197,58,female,,True,car,
105,3197,66,male,,False,,
106,3206,52,male,grievous,False,,
107,3169,35,male,,True,motorcycle,
108,3169,26,female,,True,car,
109,3100,25,male,,False,,
110,3100,36,,,False,,
111,3095,24,male,fatal,True,,
112,3095,25,,,False,,
113,3090,24,male,fatal,True,car,
114,3090,24,female,fatal,True,motorcycle,
115,3090,,,,False,,
116,3090,,,,False,,
117,3090,,,fatal,False,,
118,3090,25,,,False,,
119,3001,39,male,grievous,True,motorcycle,
120,3001,42,female,,False,,
121,2975,,female,,True,motorcycle,
122,2975,80,female,,False,,
123,2975,79,female,,False,,
124,2974,50,male,grievous,False,,
125,2974,55,,,True,car,
126,2940,3,,,False,,
127,2940,,male,,False,,
128,2940,44,,,True,,
129,2872,45,male,grievous,True,motorcycle,
130,2872,32,female,,False,,
131,2873,17,female,fatal,False,,
132,2853,,male,,True,,
133,2853,,male,grievous,False,,
134,2792,23,,,True,motorcycle,
135,2792,,male,,False,,
136,2792,50,female,,True,car,
137,2792,29,male,,False,,
138,2792,,,,False,,
139,2745,23,male,,True,,
140,2745,,female,,False,,
141,2745,,male,,False,,
142,2666,,male,serious,False,,
143,2658,75,male,serious,False,,
144,2557,56,female,,True,car,
145,2492,45,male,,True,,
146,2492,35,male,grievous,True,,
147,2452,35,male,grievous,True,,
148,2452,,,,True,,
149,2452,,,,False,,
150,2461,34,male,,True,car,
151,2461,39,male,light,True,,
152,2461,24,female,,False,,
153,2419,68,male,,False,,
