person_id,article_id,age,age_span,gender,gender_span,severity,severity_span,is_driver,is_driver_span,vehicle_type,vehicle_type_span,person_state,person_state_span
0,496773,61,"(66, 71)",male,"(96, 97)",serious,"(101, 102)",TRUE,"(61, 71)",motorcycle,"(61, 71)",,
1,496773,67,"(49, 54)",female,"(54, 55)",none,,TRUE,"(44,46)",car,"(44,46)",,
2,496774,23,"(60, 65)",male,"(87, 88)",serious,"(94, 95)",TRUE,"(51, 65)",motorcycle,"(51, 65)",,
3,496774,64,"(40, 45)",male,"(45, 46)",none,,TRUE,"(32,34)",car,"(32,34)",,
4,496775,29,"(50, 55)",male,"(79, 80)",serious,"(86, 87)",TRUE,"(45, 55)",motorcycle,"(45, 55)",,
5,496775,34,"(34, 39)",male,"(39, 40)",none,,TRUE,"(29,31)",van,"(29,31)",,
6,496776,29,"(62, 67)",male,"(92, 93)",serious,"(99, 100)",TRUE,"(54, 68)",motorcycle,"(54, 68)",,
7,496776,42,"(43, 48)",male,"(48, 49)",none,,TRUE,"(35,37)",car,"(35,37)",,
8,496777,41,"(61, 66)",male,"(88, 89)",serious,"(95, 96)",TRUE,"(55, 66)",motorcycle,"(55, 66)",,
9,496777,25,"(44, 49)",male,"(49, 50)",none,,TRUE,"(39,41)",car,"(39,41)",,
10,496778,36,"(49, 54)",male,"(111, 112)",serious,"(118, 119)",TRUE,"(44, 54)",motorcycle,"(44, 54)",,
11,496778,52,"(65, 70)",male,"(70, 71)",none,,TRUE,"(60, 70)",van,"(60, 70)",,
12,496778,53,"(80, 85)",male,"(85, 86)",none,,TRUE,"(75, 85)",car,"(75, 85)",,
13,496779,81,"(63, 68)",male,"(68, 69)",none,,TRUE,"(58, 68)",car,"(58, 68)",,
14,496779,79,"(81, 86)",female,"(131, 132)",fatal,"(134, 135)",FALSE,,car,"(75,76)",,
15,496779,24,"(47, 52)",male,"(52, 53)",minor,"(156, 157)",TRUE,"(43,44)",van,"(43,44)",,
16,496780,66,"(38, 43)",male,"(85, 86)",none,,TRUE,"(33, 43)",motorcycle,"(33, 43)",,
17,496780,30,"(53, 58)",female,"(96, 97)",serious,"(102, 103)",TRUE,"(48, 58)",motorcycle,"(48, 58)",,
18,496781,35,"(47, 52)",male,"(95, 96)",serious,"(102, 103)",TRUE,"(90, 91)",motorcycle,"(90, 91)",,
19,496781,59,"(69, 74)",male,"(74, 75)",none,,TRUE,"(64, 74)",truck,"(64, 74)",,
20,496782,79,"(60, 65)",male,"(100, 101)",none,,TRUE,"(74, 78)",unknown,"(74, 78)",,
21,496782,84,"(140, 145)",female,"(145, 146)",serious,"(152, 153)",FALSE,,unknown,"(74, 78)",,
226,496782,39,-109110,female,"(105, 107)",minor,"(162, 163)",FALSE,,unknown,"(74, 78)",,
227,496782,66,-111112,female,"(105, 107)",minor,"(162, 163)",FALSE,,unknown,"(74, 78)",,
228,496782,77,-113114,female,"(105, 107)",minor,"(162, 163)",FALSE,,unknown,"(74, 78)",,
229,496782,36,-121122,male,"(118, 120)",minor,"(162, 163)",FALSE,,unknown,"(74, 78)",,
230,496782,81,-123124,male,"(118, 120)",minor,"(162, 163)",FALSE,,unknown,"(74, 78)",,
22,496783,40,"(7, 12)",male,"(68, 69)",serious,"(72, 73)",TRUE,"(36, 45)",motorcycle,"(36, 45)",,
23,496784,48,"(48, 53)",female,"(58, 59)",serious,"(77, 78)",TRUE,"(39, 53)",car,"(39, 53)",,
24,496785,32,"(1, 6)",female,"(68, 69)",serious,"(86, 87)",FALSE,,,,,
25,496785,78,"(57, 62)",male,"(62, 63)",none,,TRUE,"(48, 62)",car,"(48, 62)",,
26,496786,64,"(34, 39)",male,"(74, 75)",serious,"(81, 82)",TRUE,"(31, 46)",motorcycle,"(31, 46)",,
27,496787,77,"(1, 6)",female,"(86, 87)",serious,"(88, 89)",FALSE,,,,,
28,496787,75,"(57, 62)",male,"(62, 63)",none,,TRUE,"(48, 62)",car,"(48, 62)",,
29,496788,80,"(1, 6)",male,"(66, 67)",serious,"(86, 87)",FALSE,,,,,
30,496788,22,"(56, 61)",male,"(61, 62)",none,,TRUE,"(46, 61)",car,"(46, 61)",,
31,496789,80,"(44, 49)",male,"(49, 50)",serious,"(105, 106)",TRUE,"(41, 42)",car,"(39,41)",,
231,496789,80,"(62,67)",male,"(67,68)",serious,"(105, 106)",FALSE,,car,"(39,41)",,
32,496790,13,"(1, 6)",,,serious,"(89, 90)",TRUE,"(38, 44)",bicycle,"(38, 44)",,
33,496790,25,"(59, 64)",male,"(64, 65)",none,,TRUE,"(50, 64)",car,"(50, 64)",,
34,496791,61,"(1, 6)",male,"(74, 75)",serious,"(81, 82)",FALSE,,,,,
35,496791,31,"(47, 52)",male,"(52, 53)",none,,TRUE,"(42, 52)",car,"(42, 52)",,
36,496792,54,"(1, 6)",male,"(71, 72)",serious,"(14, 15)",FALSE,,,,,
37,496792,,,,,none,,TRUE,"(50, 58)",car,"(50, 58)",,
38,496793,33,"(60, 65)",female,"(65, 66)",none,,TRUE,"(55, 65)",car,"(55, 65)",,
39,496793,55,"(45, 50)",male,"(102, 103)",serious,"(109, 110)",TRUE,"(85, 86)",motorcycle,"(85, 86)",,
40,496793,74,"(70, 75)",male,"(75, 76)",none,,FALSE,,car,"(55, 65)",,
41,496794,29,"(74, 79)",male,"(85, 86)",serious,"(112, 113)",FALSE,,,,,
42,496794,50,"(38, 43)",male,"(43, 44)",none,,TRUE,"(33, 43)",car,"(33, 43)",,
43,496795,53,"(1, 6)",male,"(72, 73)",serious,"(90, 91)",FALSE,,,,,
44,496795,24,"(60, 65)",male,"(65, 66)",none,,TRUE,"(51, 65)",van,"(51, 65)",,
45,496796,34,"(58, 63)",male,"(85, 86)",serious,"(92, 93)",TRUE,"(50, 63)",motorcycle,"(50, 63)",,
46,496796,23,"(39, 44)",,,none,,TRUE,"(31,33)",van,"(31,33)",,
47,496797,36,"(33, 38)",male,"(51, 52)",serious,"(84, 85)",TRUE,"(45, 54)",car,"(45, 54)",,
48,496798,43,"(1, 6)",male,"(58, 59)",serious,"(76, 77)",TRUE,"(40, 48)",motorcycle,"(40, 48)",,
49,496799,25,"(1, 6)",male,"(85, 86)",fatal,"(88, 89)",TRUE,"(40, 47)",car,"(47,48)",,
50,496800,19,"(69, 74)",,,none,,TRUE,"(64, 73)",car,"(64, 73)",,
51,496800,14,"(179, 184)",male,"(139, 141)",serious,"(190, 191)",FALSE,,car,"(98, 108)",,
52,496800,14,"(126, 131)",female,"(131, 132)",minor,"(205, 206)",FALSE,,car,"(98, 108)",,
53,496800,43,"(198, 203)",female,"(203, 204)",minor,"(205, 206)",FALSE,,car,"(98, 108)",,
54,496800,49,"(54, 59)",male,"(59, 60)",none,,TRUE,"(49,51)",car,"(49,51)",,
55,496800,50,"(103, 108)",male,"(108, 109)",none,,TRUE,"(98, 108)",car,"(98, 108)",,
232,496800,69,"(118, 119)",female,"(116, 117)",none,,FALSE,,car,"(98, 108)",,
56,496801,35,"(57, 62)",female,"(87, 88)",serious,"(93, 94)",TRUE,"(52, 62)",motorcycle,"(52, 62)",,
57,496801,39,"(41, 46)",male,"(46, 47)",none,,TRUE,"(36,38)",car,"(36,38)",,
58,496802,52,"(1, 6)",male,"(74, 75)",serious,"(92, 93)",FALSE,,,,,
59,496802,26,"(63, 68)",male,"(68, 69)",none,,TRUE,"(54, 69)",car,"(54, 69)",,
60,496803,72,"(55, 60)",male,"(84, 85)",serious,"(91, 92)",TRUE,"(50, 60)",motorcycle,"(50, 60)",,
61,496803,31,"(37, 42)",female,"(44, 45)",none,,TRUE,"(32,34)",car,"(32,34)",,
62,496804,30,"(51, 56)",male,"(82, 83)",serious,"(87, 88)",TRUE,"(46, 57)",motorcycle,"(46, 57)",,
63,496804,34,"(36, 41)",female,"(41, 42)",none,,TRUE,"(31,33)",car,"(31,33)",,
64,496805,79,"(60, 65)",male,"(89, 90)",serious,"(96, 97)",TRUE,"(55, 65)",motorcycle,"(55, 65)",,
65,496805,46,"(44, 49)",male,"(49, 50)",none,,TRUE,"(39,41)",car,"(39,41)",,
66,496806,22,"(1, 6)",female,"(69, 70)",serious,"(87, 88)",TRUE,"(62, 67)",motorcycle,"(62, 67)",,
67,496806,19,"(51, 56)",female,"(56, 57)",none,,TRUE,"(46,48)",car,"(46,48)",,
68,496807,32,"(63, 68)",male,"(68, 69)",fatal,"(130, 131)",TRUE,"(58, 68)",car,"(58, 68)",,
69,496807,57,"(48, 53)",male,"(134, 135)",serious,"(139, 140)",TRUE,"(43,45)",car,"(43,45)",,
70,496807,28,"(73, 78)",female,"(137, 138)",serious,"(139, 140)",FALSE,,car,"(58, 68)",,
71,496808,44,"(1, 6)",female,"(99, 100)",serious,"(105, 106)",FALSE,,motorcycle,"(43, 64)",,
72,496808,44,"(46, 51)",male,"(52, 53)",none,,TRUE,"(43, 64)",motorcycle,"(43, 64)",,
73,496809,87,"(1, 6)",female,"(65, 66)",serious,"(83, 84)",FALSE,,,,,
233,496809,30,"(47, 59)",male,"(47, 59)",,,TRUE,"(47, 59)",car,"(47, 59)",,
74,496810,75,"(1, 6)",male,"(71, 72)",serious,"(89, 90)",FALSE,,,,,
75,496810,29,"(58, 63)",male,"(63, 64)",none,,TRUE,"(49, 63)",car,"(49, 63)",,
76,496811,82,"(31, 36)",male,"(47, 48)",none,,TRUE,"(41, 50)",car,"(41, 50)",,
77,496811,81,"(57, 62)",female,"(93, 94)",serious,"(99, 100)",FALSE,,car,"(41, 50)",,
78,496812,36,"(1, 6)",male,"(90, 91)",fatal,"(93, 94)",TRUE,"(42, 50)",motorcycle,"(42, 50)",,
79,496813,39,"(58, 63)",male,"(84, 85)",serious,"(91, 92)",TRUE,"(53, 63)",motorcycle,"(53, 63)",,
80,496813,42,"(40, 45)",female,"(45, 46)",none,,TRUE,"(35,37)",car,"(35,37)",,
81,496814,45,"(57, 62)",male,"(85, 86)",serious,"(92, 93)",TRUE,"(48, 63)",motorcycle,"(48, 63)",,
82,496814,32,"(37, 42)",male,"(43, 44)",none,,TRUE,"(29,31)",car,"(29,31)",,
83,496815,75,"(1, 6)",female,"(67, 68)",serious,"(85, 86)",FALSE,,,,,
84,496815,54,"(55, 60)",female,"(60, 61)",none,,TRUE,"(46, 60)",car,"(46, 60)",,
85,496816,27,"(1, 6)",male,"(6, 7)",fatal,"(95, 96)",TRUE,"(65, 70)",motorcycle,"(65, 70)",,
86,496816,22,"(51, 56)",male,"(56, 57)",none,,TRUE,"(45,48)",car,"(45,48)",,
87,496817,22,"(26, 31)",male,"(70, 71)",serious,"(76, 77)",TRUE,"(64, 65)",car,"(44,46)",,
88,496818,37,"(46, 51)",male,"(97, 98)",serious,"(104, 105)",TRUE,"(38, 51)",bus,"(38, 51)",,
89,496818,39,"(66, 71)",female,"(108, 109)",none,,TRUE,"(56, 71)",van,"(56, 71)",,
90,496819,34,"(39, 44)",male,"(44, 45)",none,,TRUE,"(36, 51)",car,"(36, 51)",,
91,496819,59,"(94, 99)",male,"(99, 100)",serious,"(153, 154)",TRUE,"(89, 99)",motorcycle,"(89, 99)",,
92,496819,30,"(110, 115)",male,"(115, 116)",serious,"(153, 154)",TRUE,"(105, 115)",car,"(105, 115)",,
93,496820,21,"(41, 46)",male,"(87, 88)",serious,"(92, 93)",TRUE,"(36, 46)",car,"(36, 46)",,
94,496821,80,"(172, 177)",female,"(177, 178)",serious,"(183, 184)",FALSE,,car,"(69, 80)",,
95,496821,81,"(75, 80)",male,"(80, 81)",,,TRUE,"(69, 80)",car,"(69, 80)",,
96,496821,39,"(107, 112)",,,none,,TRUE,"(101, 113)",bus,"(101, 113)",,
97,496822,34,"(53, 58)",male,"(83, 84)",serious,"(90, 91)",TRUE,"(48, 58)",motorcycle,"(48, 58)",,
98,496822,45,"(38, 43)",female,"(43, 44)",none,,TRUE,"(34,35)",car,"(34,35)",,
99,496823,21,"(38, 43)",male,"(93, 94)",serious,"(99, 100)",TRUE,"(67, 71)",motorcycle,"(58,59)",,
100,496824,84,"(1, 6)",female,"(81, 82)",serious,"(88, 89)",FALSE,,,,,
101,496824,84,"(56, 61)",male,"(61, 62)",none,,TRUE,"(47, 61)",car,"(47, 61)",,
102,496825,33,"(1, 6)",male,"(58, 59)",serious,"(76, 77)",TRUE,"(43, 51)",motorcycle,"(43, 51)",,
103,496826,46,"(35, 40)",male,"(95, 96)",serious,"(102, 103)",TRUE,"(79, 80)",motorcycle,"(79, 80)",,
104,496826,30,"(66, 71)",male,"(71, 72)",none,,TRUE,"(55, 71)",car,"(55, 71)",,
105,496827,8,"(155, 160)",,,serious,"(180, 181)",FALSE,,,,,
106,496827,45,"(120, 125)",male,"(125, 126)",serious,"(180, 181)",TRUE,"(115, 125)",motorcycle,"(115, 125)",,
107,496827,48,"(52, 57)",,,serious,"(180, 181)",TRUE,"(46, 57)",motorcycle,"(46, 57)",,
108,496827,60,"(70, 75)",,,none,,TRUE,"(65, 75)",car,"(65, 75)",,
109,496827,23,"(104, 109)",male,"(109, 110)",none,,TRUE,"(99, 101)",van,"(99, 101)",,
110,496828,62,"(36, 41)",female,"(81, 82)",serious,"(87, 88)",TRUE,"(31, 41)",motorcycle,"(31, 41)",,
111,496828,25,"(52, 57)",male,"(58, 59)",none,,TRUE,"(47, 58)",truck,"(47, 58)",,
112,496829,53,"(61, 66)",male,"(94, 95)",serious,"(101, 102)",TRUE,"(56, 66)",motorcycle,"(56, 66)",,
113,496829,44,"(42, 47)",female,"(47, 48)",none,,TRUE,"(37, 39)",car,"(37, 39)",,
114,496830,29,"(1, 6)",female,"(84, 85)",serious,"(86, 87)",FALSE,,,,,
115,496830,,,female,"(54, 55)",none,,TRUE,"(45, 54)",car,"(45, 54)",,
116,496830,64,"(56, 61)",,,none,,FALSE,,,,,
117,496831,28,"(28, 33)",male,"(41, 42)",none,,TRUE,"(37, 44)",car,"(37, 44)",,
118,496831,25,"(63, 68)",male,"(53, 54)",serious,"(88, 89)",FALSE,,car,"(37, 44)",,
119,496832,35,"(1, 6)",male,"(77, 78)",fatal,"(80, 81)",TRUE,"(42, 51)",motorcycle,"(42, 51)",,
120,496833,46,"(1, 6)",,,serious,"(12, 13)",TRUE,"(6, 7)",motorcycle,"(6, 7)",,
121,496833,54,"(61, 66)",male,"(66, 67)",none,,TRUE,"(56, 66)",unknown,"(56, 66)",,
122,496834,37,"(55, 60)",male,"(88, 89)",serious,"(95, 96)",TRUE,"(47, 61)",motorcycle,"(47, 61)",,
123,496834,65,"(35, 40)",male,"(40, 41)",none,,TRUE,"(30, 32)",car,"(30, 32)",,
124,496835,44,"(1, 6)",female,"(68, 69)",serious,"(86, 87)",FALSE,,,,,
125,496835,23,"(57, 62)",female,"(62, 63)",none,,TRUE,"(48, 62)",car,"(48, 62)",,
126,496836,33,"(50, 55)",male,"(56, 57)",serious,"(100, 101)",TRUE,"(43, 44)",motorcycle,"(43, 44)",,
127,496836,32,"(69, 74)",male,"(74, 75)",none,,TRUE,"(60, 74)",truck,"(60, 74)",,
128,496837,45,"(59, 64)",male,"(88, 89)",serious,"(94, 95)",TRUE,"(51, 64)",motorcycle,"(51, 64)",,
129,496837,40,"(39, 44)",,,none,,FALSE,,,,,
130,496838,70,"(1, 6)",male,"(91, 92)",serious,"(97, 98)",FALSE,,,,,
131,496838,58,"(59, 64)",male,"(64, 65)",none,,TRUE,"(49, 64)",motorcycle,"(49, 64)",,
132,496839,28,"(1, 6)",male,"(74, 75)",serious,"(92, 93)",FALSE,,,,,
133,496839,52,"(62, 67)",male,"(68, 69)",none,,TRUE,"(53, 68)",car,"(53, 68)",,
134,496840,40,"(131, 136)",male,"(136, 137)",serious,"(143, 144)",TRUE,"(52, 64)",motorcycle,"(52, 64)",,
135,496840,31,"(42, 47)",male,"(47, 48)",minor,"(149, 150)",TRUE,"(35, 36)",motorcycle,"(35, 36)",,
136,496840,29,"(76, 81)",male,"(81, 82)",none,,TRUE,"(69, 81)",motorcycle,"(69, 81)",,
137,496840,27,"(99, 104)",female,"(104, 105)",none,,TRUE,"(92, 104)",car,"(92, 104)",,
138,496841,74,"(1, 6)",female,"(69, 70)",serious,"(87, 88)",FALSE,,,,,
139,496841,76,"(57, 62)",male,"(62, 63)",none,,TRUE,"(48, 62)",car,"(48, 62)",,
