id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,,2,2,"[78, None]","['male', 'na']","['none', 'none']",2,"['car', 'car']",[],['speeding'],[],Regional Road,St Julian's
4093,,1,1,[54],['male'],['critical'],1,['motorcycle'],[],[],[],St Paul's Bay bypass,St Paul's Bay
4110,,1,1,[54],['male'],['grievous'],1,['motorcycle'],[],[],[],St Paul's Bay bypass,St Paul's Bay
4087,,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],[],St Paul's Bay bypass,St Paul's Bay
4049,,2,2,"[86, 45]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq l-Imgarr,Xewkija
4034,,2,1,[50],['na'],"['grievous', 'none']",2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
4014,,0,2,"[52, 46]","['na', 'na']",[],2,"['van', 'van']",[],[],[],Triq Mons Mikiel Azzopardi,Siggiewi
3989,,2,2,"[None, None]","['na', 'na']","['none', 'none']",2,"['bus', 'car']",[],[],[],Triq Dicembru Tlettax,Blata l-Bajda
3991,,1,1,[30],['female'],['grievous'],1,['motorcycle'],[],[],[],Tul il-Kosta,Naxxar
3964,,4,4,"[31, 40, 29, 27]","['male', 'male', 'male', 'female']","['slight', 'grievous', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",[],[],[],Triq is-Salina,St Paul's Bay
3966,,2,2,"[13, 25]","['female', 'na']","['grievous', 'none']",2,"['bicycle', 'car']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
3938,,2,2,"[37, 39]","['na', 'female']","['critical', 'none']",2,"['bus', 'van']",[],[],[],Regional Road,
3910,,2,2,"[37, 39]","['na', 'female']","['dead', 'none']",2,"['bus', 'van']",[],[],[],Regional Road,
3885,,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
3900,,2,2,"[62, 25]","['female', 'na']","['grievous', 'none']",2,"['motorcycle', 'truck']",[],[],[],Triq il-Hotba,Zejtun
3766,2025-01-05 07:00:00,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",[],[],[],Birkirkara bypass,Birkirkara
3747,2025-01-06 21:00:00,1,1,[25],['male'],['dead'],1,['car'],[],['speeding'],[],Mdina Road,Attard
3749,2025-01-06 20:00:00,3,1,[20],['female'],"['critical', 'grievous', 'none']",1,['truck'],[],[],[],Triq Hompesh,Fgura
3740,2025-01-06 21:00:00,1,1,[25],['male'],['dead'],1,['car'],[],['speeding'],[],Mdina Road,Attard
3671,2025-01-09 11:00:00,2,1,[56],['female'],"['slight', 'grievous']",1,['car'],[],[],[],Triq Gheriexem,Rabat
3586,2025-01-15 16:45:00,2,1,[36],['na'],"['slight', 'none']",1,['car'],[],[],[],Triq Guze' Howard and Triq Ghar Id-Dud,Sliema
3551,2025-01-16 10:15:00,2,2,"[45, 34]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq il-Fortizza tal-Mosta,Naxxar
3456,2025-01-23 18:00:00,2,2,"[47, 51]","['na', 'na']","['grievous', '']",2,"['car', 'motorcycle']",[],[],[],Rudolph Street,Sliema
3442,2025-01-24 20:15:00,1,1,[36],['male'],['dead'],1,['motorcycle'],[],[],['tunnel'],Triq Mikiel Anton Vassalli,Msida
3408,,2,2,"[46, None]","['male', 'na']","['', 'none']",2,"['motorcycle', 'car']",[],[],[],Coast Road,St Paul’S Bay
3197,2025-02-04 11:30:00,3,2,"[58, 66]","['female', 'male']","['', 'grievous', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Alfredo Cachia Zammit,Żejtun
3206,2025-02-05 09:00:00,1,1,[52],['na'],['grievous'],1,['motorcycle'],[],[],[],Vjal l-Istadium Nazzjonali,Ta' Qali
3169,2025-02-06 08:00:00,2,2,"[35, 26]","['male', 'female']","['', '']",2,"['motorcycle', 'car']",[],[],[],Labour Avenue,Naxxar
3100,2025-02-09 21:00:00,2,1,[25],['na'],"['grievous', 'grievous']",1,['van'],[],[],[],Triq-ir-Rabat,Gozo
3095,2025-02-10 21:00:00,2,1,[24],['male'],"['dead', '']",1,['car'],[],[],['tunnel'],Kirkop tunnels,Kirkop
3001,2025-02-15 00:00:00,2,2,"[39, 42]","['male', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq il-Wied,Iklin
2974,2025-02-16 11:00:00,2,2,"[50, 55]","['na', 'na']","['grievous', '']",2,"['bicycle', 'car']",[],[],[],Triq il-Kilpa,Siġġiewi
2940,2025-02-17 13:00:00,4,2,"[None, 44]","['na', 'na']","['', '', '', '']",2,"['car', 'truck']",[],[],[],Hal Far road,
2872,2025-02-20 18:00:00,2,2,"[45, 32]","['male', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Hompesch,Fgura
2853,,2,1,[80],['male'],"['grievous', 'grievous']",1,['car'],[],[],[],Triq il-Bacir,Paola
2745,,1,1,[23],['male'],['grievous'],2,"['motorcycle', 'van']",[],[],[],Triq il-Kappillan Mifsud,Hamrun
2666,,1,1,[None],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Aldo Moro,Marsa
2658,,1,1,[75],['male'],['grievous'],1,['car'],[],[],[],Triq l-Imgarr,Xewkija
2557,,1,1,[56],['female'],['none'],3,"['car', 'car', 'motorcycle']",[],[],[],Triq San Pawl,St Paul's Bay
2492,,6,2,"[45, 35]","['male', 'na']","['none', 'grievous', 'slight', 'slight', 'slight', 'slight']",2,"['bus', 'car']",[],[],[],Triq ir-Rabat,"Zebbug, Gozo"
2452,,1,1,[35],['male'],['grievous'],1,['truck'],[],[],[],Triq Buqana,Rabat
2461,,3,2,"[34, 39]","['male', 'male']","['slight', 'none', 'slight']",2,"['car', 'car']",[],[],[],Triq Ghajn Dwieli,Paola
2409,,1,1,[40],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Tul il-Kosta,Naxxar
1989,,1,2,"[31, 19]","['male', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Zafran,Attard
1856,2025-04-13 15:15:00,6,2,"[39, 81]","['male', 'male']","['slight', 'slight', 'slight', 'slight', 'slight', 'grievous']",2,"['bus', 'car']",[],[],[],Coast Road,
1860,2025-04-14 17:45:00,2,2,"[41, 36]","['male', 'female']","['grievous', '']",2,"['car', 'car']",[],[],[],Triq Birzebbuga,Birzebbuga
1808,2025-04-15 08:50:00,3,3,"[36, 53, 52]","['male', 'male', 'male']","['grievous', 'none', 'none']",3,"['motorcycle', 'car', 'van']",[],[],[],Triq Aldo Moro,Marsa
1776,2025-04-17 09:30:00,2,2,"[79, 46]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Tal-Barrani,Zejtun
1769,2025-04-17 13:00:00,2,1,[22],['male'],"['grievous', '']",1,['car'],[],[],[],Triq Hal Luqa,Luqa
1718,2025-04-18 13:30:00,2,2,"[72, 31]","['male', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Burmarrad Street,St Paul's Bay
1490,2025-05-02 15:30:00,2,2,"[63, 54]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq l-Imgarr,Mgarr
1489,2025-05-03 17:00:00,3,2,"[74, 33]","['male', 'male']","['slight', 'grievous', 'slight']",2,"['car', 'car']",[],[],[],Triq ix-Xaghra,Xaghra
1467,2025-05-04 14:30:00,1,1,[43],['male'],[''],1,['motorcycle'],[],[],[],December 13 Road,Marsa
1380,2025-05-07 13:15:00,2,2,"[23, 34]","['na', 'na']","['', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Triq Ghar Dalam,Birzebbuga
1352,2020-05-02 00:00:00,1,1,[39],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Ghar Lapsi,Siggiewi
1286,2025-05-12 08:00:00,2,2,"[34, 29]","['na', 'na']","['', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Triq il-Wied,Qormi
1275,2025-05-12 09:45:00,2,2,"[62, 54]","['na', 'female']","['', '']",2,"['motorcycle', 'car']",[],[],[],St Joseph High Road,Hamrun
1227,2025-05-15 17:45:00,2,2,"[22, 19]","['female', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Regional Road,Santa Venera
1165,2025-05-17 18:30:00,2,2,"[None, None]","['na', 'na']","['', '']",2,"['car', 'car']",[],[],[],Triq Dawret il-Mellieha,Mellieha
1034,2025-05-22 00:00:00,1,1,[29],['na'],['grievous'],1,['car'],[],[],[],,Mgarr
1015,2025-05-24 07:15:00,2,2,"[37, 65]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Aldo Moro,Marsa
974,2025-05-25 13:15:00,2,1,[22],['male'],"['grievous', 'none']",2,"['car', 'pedestrian']",[],[],[],Triq c-Cern,Bugibba
964,2025-05-27 12:30:00,1,1,[35],['male'],['dead'],1,['motorcycle'],[],[],[],Xemxija bypass,St Paul's Bay
760,2025-06-03 04:30:00,1,1,[62],['male'],['grievous'],1,['van'],[],[],[],Marfa Road,Mellieha
751,,2,2,"[21, None]","['male', 'na']","['grievous', '']",2,"['motorcycle', '']",[],[],[],Kennedy Drive,St Paul's Bay
685,2025-06-07 20:30:00,5,2,"[22, None]","['female', 'male']","['grievous', 'slight', 'slight', '', 'grievous']",2,"['car', 'car']",[],[],[],Triq Paredes and Triq il-Parrocca,St Paul's Bay
679,2025-06-07 17:30:00,2,2,"[39, 36]","['male', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq l-Imgarr,Xewkija
640,2025-06-07 17:00:00,1,1,[43],['male'],['dead'],1,['motorcycle'],[],[],[],Triq ix-Xatt Juan B Azopardo,Senglea
607,2025-06-12 10:00:00,4,3,"[67, None, None]","['male', '', '']","['dead', '', 'none', 'none']",3,"['van', 'car', 'bicycle']",[],[],[],Triq Villabate,Marsascala
522,2025-06-14 22:00:00,1,1,[64],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Sant' Elizabetta,Xewkija
404,2025-06-19 10:15:00,2,2,"[53, 39]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Hal Farrug,Luqa
407,2025-06-19 06:30:00,1,1,[53],['na'],[''],1,['bus'],[],[],[],Triq President Anton Buttigieg,Zejtun
408,2025-06-18 22:00:00,3,2,"[32, 57]","['male', 'male']","['dead', 'grievous', 'grievous']",2,"['car', 'car']",[],[],[],Mdina Road,Zebbug
