id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,,1,1,[78],['male'],['none'],2,"['car', 'car']",['dry'],['speeding'],['tunnel'],Regional Road,St Julian's
4093,,1,1,[54],['male'],['critical'],1,['motorcycle'],['obstructed'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4110,,1,1,[54],['male'],['grievous'],1,['motorcycle'],['obstructed'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4066,,2,2,"[52, 50]","['male', 'male']","['critical', 'critical']",4,"['car', 'car', 'car', 'car']",[],[],['residential_road'],,Mellieħa and Gudja
4087,,1,1,[54],['male'],['dead'],1,['motorcycle'],['obstructed'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4049,,2,2,"[86, 45]","['female', 'male']","['grievous', 'none']",2,"['car', 'motorcycle']",[],[],[],Triq l-Imgarr,Xewkija
4034,,1,1,[50],['male'],['critical'],2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
4007,,1,1,[54],['male'],['dead'],1,['motorcycle'],['obstructed'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4014,,6,2,"[52, 46]","['male', 'male']","['none', 'none', 'slight', 'slight', 'slight', 'slight']",2,"['van', 'van']",[],[],[],Triq Mons Mikiel Azzopardi,Siġġiewi
3989,,2,2,"[None, None]","['na', 'na']","['none', 'none']",2,"['bus', 'car']",[],[],['residential_road'],Triq Dicembru Tlettax,Blata l-Bajda
3991,,1,1,[30],['female'],['grievous'],1,['motorcycle'],[],[],[],Tul il-Kosta,Naxxar
3976,,2,2,"[43, 44]","['male', 'male']","['grievous', 'grievous']",2,"['car', 'car']",[],[],[],,Birkirkara and Sliema
3964,,4,4,"[31, 40, 29, 27]","['male', 'male', 'male', 'female']","['slight', 'grievous', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",[],[],[],Triq is-Salini,St Paul's Bay
3966,,2,1,[25],['na'],"['grievous', 'none']",2,"['car', 'bicycle']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
3938,,2,2,"[37, 39]","['male', 'female']","['critical', 'none']",2,"['bus', 'van']",[],[],"['tunnel', 'highway']",Regional Road,
3910,,1,2,"[37, 39]","['male', 'female']","['dead', 'none']",2,"['bus', 'van']",[],[],[],Regional Road,
3885,,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
3900,,1,2,"[62, 25]","['female', 'na']","['grievous', 'none']",2,"['motorcycle', 'truck']",[],[],[],Triq il-Hotba,Żejtun
3766,,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",[],[],[],Birkirkara bypass,Birkirkara
3747,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3749,,2,1,[20],['female'],"['critical', 'grievous']",1,['truck'],[],[],[],Triq Hompesch,Fgura
3740,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3704,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3671,,2,1,[56],['female'],"['slight', 'grievous']",1,['car'],[],[],[],Triq Għeriexem,Rabat
3601,,2,2,"[21, 30]","['male', 'male']","['grievous', 'slight']",2,"['motorcycle', 'motorcycle']",[],[],[],Anton Cassar Street; Tal-Barrani Road,Marsa
3586,,2,1,[36],['na'],"['slight', 'none']",1,['car'],[],[],[],Triq Ġuże' Howard / Triq Għar Id-Dud,Sliema
3551,,2,2,"[34, 45]","['male', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq il-Fortizza tal-Mosta,Naxxar
3588,,1,1,[44],['na'],['dead'],1,['car'],[],[],['tunnel'],Regional Road tunnels,St Julian's
