id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,2024-12-07 17:00:00+00:00,1,2,"[78, 0]","['male', '']",['slight'],2,"['car', '']",[''],['speeding'],['highway'],Regional Road,St Julian's
4093,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['critical'],2,"['motorcycle', '']",[''],[''],['highway'],St Paul's Bay bypass,St Paul's Bay
4110,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', '']",[''],[''],['highway'],St Paul's Bay bypass,St Paul's Bay
4066,2024-12-13 17:30:00+00:00,3,2,"[52, 50]","['male', 'male']","['critical', 'critical', 'grievous']",4,"['car', 'car', 'car', 'car']",[''],[''],['residential_road'],Triq il-Marfa,Mellieha
4087,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', '']",[''],[''],['highway'],St Paul's Bay bypass,St Paul's Bay
4049,2024-12-15 20:30:00+00:00,2,2,"[86, 45]","['female', 'male']","['serious', 'grievous']",2,"['car', 'motorcycle']",[''],[''],[''],Triq l-Imgarr,Xewkija
4034,2024-12-13 19:45:00+00:00,2,2,"[50, 29]","['male', 'male']","['serious', 'grievous']",2,"['car', 'car']",[''],[''],[''],Dawret il-Gudja,Gudja
4007,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', '']",[''],[''],['highway'],St Paul's Bay bypass,St Paul's Bay
4024,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', '']",[''],[''],['highway'],St Paul's Bay bypass,St Paul's Bay
4014,2024-12-17 14:15:00+00:00,5,2,"[52, 46]","['male', 'male']","['slight', 'slight', 'slight', 'grievous', 'grievous']",2,"['van', 'van']",[''],[''],[''],Triq Mons Mikiel Azzopardi,Siggiewi
3989,2024-12-19 00:00:00+00:00,2,2,"[0, 0]","['', '']","['none', 'none']",2,"['car', 'bus']",[''],[''],[''],Triq Dicembru Tlettax,Blata l-Bajda
3991,2024-12-20 00:00:00+00:00,1,1,[30],['female'],['serious'],1,['motorcycle'],[''],[''],[''],Tul il-Kosta,Naxxar
3976,2024-12-20 11:30:00+00:00,2,2,"[43, 44]","['male', 'male']","['serious', 'serious']",2,"['car', 'car']",[''],[''],[''],Triq in-Naxxar,Birkirkara
3964,2024-12-22 09:30:00+00:00,4,4,"[31, 40, 29, 27]","['male', 'male', 'male', 'female']","['slight', 'serious', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",[''],[''],[''],Triq is-Salina,Salina
3966,2024-12-22 10:15:00+00:00,2,2,"[25, 0]","['female', '']","['grievous', 'none']",2,"['car', 'bicycle']",[''],[''],[''],Triq Sir Philip Pullicino,Mtarfa
3938,2024-12-23 10:30:00+00:00,2,2,"[37, 39]","['male', 'female']","['critical', 'slight']",2,"['bus', 'van']",[''],[''],['highway'],Regional Road,
3910,2024-12-23 10:30:00+00:00,2,2,"[37, 39]","['male', 'female']","['dead', 'slight']",2,"['bus', 'van']",[''],[''],['highway'],Regional Road,
3885,2024-12-27 07:45:00+00:00,1,1,[36],['male'],['grievous'],1,['car'],[''],[''],[''],Triq Dicembru Tlettax,Marsa
3900,2024-12-27 12:00:00+00:00,2,2,"[25, 62]","['male', 'female']","['serious', 'serious']",2,"['truck', 'motorcycle']",[''],[''],[''],Triq il-Hotba,Zejtun
3861,2022-09-24 00:00:00+00:00,3,1,[22],['male'],"['dead', 'slight', 'slight']",1,['car'],[''],[''],[''],Triq il-Madliena,Swieqi
3834,2006-12-17 00:00:00+00:00,2,2,"[0, 0]","['', '']","['grievous', 'none']",2,"['car', 'car']",[''],[''],[''],Triq il-Mithna,Qormi
3766,2025-01-05 07:00:00+00:00,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",[''],[''],['highway'],Birkirkara bypass,Birkirkara
3747,2025-01-06 21:00:00+00:00,1,1,[25],['male'],['dead'],1,['car'],[''],['speeding'],[''],Mdina Road,Attard
3749,2025-01-06 20:00:00+00:00,3,1,[20],['female'],"['critical', 'grievous', 'none']",2,"['pickup', 'pedestrian']",[''],[''],[''],Triq Hompesch,Fgura
3740,2025-01-06 21:00:00+00:00,1,1,[25],['male'],['dead'],1,['car'],[''],['speeding'],[''],Mdina Road,Attard
3704,2025-01-06 21:00:00+00:00,1,1,[25],['male'],['dead'],1,['car'],[''],['speeding'],[''],Mdina Road,Attard
3671,2025-01-09 11:00:00+00:00,2,1,[56],['female'],"['grievous', 'slight']",1,['car'],[''],[''],[''],Triq Gheriexem,Rabat
3653,2022-09-24 00:00:00+00:00,3,1,[22],['male'],"['dead', 'slight', 'slight']",1,['car'],[''],[''],[''],Triq il-Madliena,Swieqi
3601,2025-01-15 08:00:00+00:00,2,2,"[21, 30]","['male', 'male']","['grievous', 'grievous']",3,"['motorcycle', 'car', 'motorcycle']",[''],[''],[''],Anton Cassar Street,Marsa
3586,2025-01-15 16:45:00+00:00,2,1,[36],['male'],"['grievous', 'none']",2,"['car', 'pedestrian']",[''],[''],[''],Triq Guze' Howard,Sliema
3551,2025-01-16 10:15:00+00:00,2,2,"[45, 34]","['female', 'male']","['grievous', 'none']",2,"['car', 'motorcycle']",[''],[''],[''],Triq il-Fortizza tal-Mosta,Naxxar
