id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,2024-12-04 17:00:00,2,2,"[78, None]","['male', 'na']","['none', 'none']",2,"['car', 'car']",[],['speeding'],[],Regional Road,St Julian's
4093,2024-12-11 17:00:00,1,1,[54],['male'],['critical'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4110,2024-12-11 18:00:00,1,1,[54],['male'],['grievous'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4087,2024-12-11 18:00:00,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4049,2024-12-15 20:30:00,2,2,"[86, 45]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq l-Imgarr,Xewkija
4034,2024-12-13 19:45:00,2,1,[50],['na'],"['none', 'grievous']",1,['car'],[],[],[],Dawret il-Gudja,Gudja
4007,2024-12-11 18:00:00,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4024,2024-12-11 18:00:00,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
3989,2024-12-19 18:00:00,2,2,"[None, None]","['na', 'na']","['none', 'none']",2,"['bus', 'car']",[],[],[],Triq Dicembru Tlettax,Blata l-Bajda
3991,2024-12-20 12:00:00,1,1,[30],['female'],['grievous'],1,['motorcycle'],[],[],[],Tul il-Kosta,Naxxar
3964,2024-12-22 09:30:00,4,4,"[31, 40, 29, 27]","['na', 'na', 'na', 'female']","['slight', 'grievous', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",[],[],[],Triq is-Salina,
3966,2024-12-22 10:15:00,2,2,"[25, 13]","['na', 'female']","['none', 'grievous']",2,"['car', 'bicycle']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
3938,2024-12-23 10:30:00,2,2,"[37, 39]","['na', 'female']","['critical', 'none']",2,"['bus', 'van']",[],[],['highway'],Regional Road,
3910,2024-12-23 10:30:00,2,2,"[37, 39]","['male', 'female']","['dead', 'none']",2,"['bus', 'van']",[],[],['highway'],Regional Road,
3885,2024-12-27 07:45:00,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
3900,2024-12-27 11:45:00,2,2,"[62, 25]","['female', 'na']","['grievous', 'none']",2,"['motorcycle', 'truck']",[],[],[],Triq il-Hotba,Zejtun
3834,,0,0,[],[],[],0,[],[],[],[],,
3827,,0,0,[],[],[],0,[],[],[],[],,
3823,,0,0,[],[],[],0,[],[],[],[],,
3809,,0,0,[],[],[],0,[],[],[],[],,
3766,2025-01-05 07:00:00,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",[],[],['highway'],Birkirkara bypass,Birkirkara
3743,,0,0,[],[],[],0,[],[],[],[],,
3747,2025-01-06 21:00:00,1,1,[25],['male'],['dead'],1,['car'],[],['speeding'],[],Mdina Road,Attard
3749,2025-01-06 20:00:00,3,1,[20],['female'],"['critical', 'grievous', 'none']",1,['truck'],[],[],[],Triq Hompesh,Fgura
3740,2025-01-06 21:00:00,1,1,[25],['male'],['dead'],1,['car'],[],['speeding'],[],Mdina Road,Attard
3704,2025-01-06 21:00:00,1,1,[25],['male'],['dead'],1,['car'],[],['speeding'],[],Mdina Road,Attard
3699,,0,0,[],[],[],0,[],[],[],[],,
3671,2025-01-09 11:00:00,2,1,[56],['female'],"['grievous', 'slight']",1,['car'],[],[],[],Triq Gheriexem,Rabat
3653,,0,0,[],[],[],0,[],[],[],[],,
3604,,0,0,[],[],[],0,[],[],[],[],,
3601,,0,0,[],[],[],0,[],[],[],[],,
3586,2025-01-15 16:45:00,2,1,[36],['na'],"['grievous', 'none']",1,['car'],[],[],[],Triq Guze' Howard,Sliema
3551,2025-01-16 10:15:00,2,2,"[45, 34]","['female', 'male']","['grievous', 'none']",2,"['car', 'motorcycle']",[],[],[],Triq il-Fortizza tal-Mosta,Naxxar
3558,,0,0,[],[],[],0,[],[],[],[],,
3588,,0,0,[],[],[],0,[],[],[],[],,
3563,,0,0,[],[],[],0,[],[],[],[],,
3497,,0,0,[],[],[],0,[],[],[],[],,
3456,,2,2,"[47, 51]","['', '']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Rudolph Street,Sliema
3442,2025-01-23 20:15:00,1,1,[36],[''],['dead'],1,['motorcycle'],[],[],['tunnel'],Triq Mikiel Anton Vassalli,Tal-Qroqq
3423,,0,0,[],[],[],0,[],[],[],[],,
3408,,2,2,"[46, 0]","['', '']","['', 'none']",2,"['motorcycle', 'car']",[],[],[],Coast Road,Salini
3255,,0,0,[],[],[],0,[],[],[],[],,
3220,,0,0,[],[],[],0,[],[],[],[],,
3197,,3,2,"[58, 66]","['female', 'male']","['', 'grievous', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Alfredo Cachia Zammit,Zejtun
3206,,2,2,"[52, 32]","['', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Vjal l-Istadium Nazzjonali,Ta' Qali
3204,,0,0,[],[],[],0,[],[],[],[],,
3169,,2,2,"[35, 26]","['male', 'female']","['', '']",2,"['motorcycle', 'car']",[],[],[],Labour Avenue,Naxxar
3100,,2,1,[25],[''],"['grievous', 'grievous']",1,['van'],[],[],[],Triq-ir-Rabat,Marsalforn
3095,2025-02-09 21:00:00,2,1,[24],[''],"['dead', '']",1,['car'],[],[],['tunnel'],Kirkop tunnels,Kirkop
3090,,0,0,[],[],[],0,[],[],[],[],,
3001,2025-02-15 00:00:00,2,2,"[39, 42]","['male', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq il-Wied,Iklin
2974,,2,2,"[50, 55]","['', '']","['grievous', '']",2,"['bicycle', 'car']",[],[],[],Triq il-Kilpa,Siggiewi
2940,,4,2,"[0, 44]","['', '']","['', '', '', '']",2,"['car', 'truck']",[],[],[],Hal Far road,Hal Far
2959,,0,0,[],[],[],0,[],[],[],[],,
2872,2025-02-19 18:00:00,2,2,"[45, 32]","['', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Hompesch,Fgura
2873,,0,0,[],[],[],0,[],[],[],[],,
2853,,2,1,[80],['male'],"['grievous', 'grievous']",1,['car'],[],[],[],Triq il-Bacir,Paola
2849,,2,2,"[61, 31]","['male', 'male']","['grievous', '']",2,"['karozzin', 'car']",[],[],[],Triq Nazzjonali,Floriana
2745,,2,2,"[23, None]","['male', 'na']","['grievous', '']",2,"['motorcycle', 'van']",[],[],[],Triq il-Kappillan Mifsud,Hamrun
2666,,1,1,[None],['na'],['grievous'],1,['motorcycle'],[],[],[],Triq Aldo Moro,Marsa
2658,,1,1,[75],['male'],['grievous'],1,['car'],[],[],[],Triq l-Imgarr,Xewkija
2557,,1,1,[56],['female'],['none'],3,"['car', 'car', 'motorcycle']",[],[],[],Triq San Pawl,St Paul's Bay
2492,,6,2,"[45, 35]","['male', 'na']","['none', 'grievous', 'slight', 'slight', 'slight', 'slight']",2,"['bus', 'car']",[],[],[],Triq ir-Rabat,"Zebbug, Gozo"
2452,,1,1,[35],['male'],['grievous'],1,['truck'],[],[],[],Triq Buqana,Rabat
2461,,3,2,"[34, 39]","['male', 'male']","['slight', 'none', 'slight']",2,"['car', 'car']",[],[],[],Triq Ghajn Dwieli,Paola
2419,,3,1,[59],['male'],"['grievous', 'slight', '']",1,['car'],[],[],[],Vjal il-Helsien,Zebbug
2409,,1,1,[40],['na'],['grievous'],1,['motorcycle'],[],[],[],Triq Tul il-Kosta,Naxxar
2301,,2,2,"[32, 31]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'bus']",[],[],[],Triq l-Imgarr,Ghajnsielem
2259,,2,2,"[43, 26]","['female', 'male']","['grievous', '']",2,"['car', 'truck']",[],[],[],Triq ir-Rabat,Nadur
2201,,3,2,"[None, None]","['na', 'na']","['none', 'none', '']",2,"['motorcycle', 'car']",[],[],[],Triq Mons Mikel Azzopardi,Siggiewi
2157,,2,2,"[33, 32]","['na', 'male']","['grievous', '']",2,"['bicycle', 'truck']",[],[],[],Triq tal-Balal,San Gwann
2080,,2,1,[30],['male'],"['grievous', 'none']",1,['car'],[],[],[],St Paul Street,Naxxar
2101,2017-08-20 00:00:00,3,2,"[None, None]","['male', 'male']","['critical', 'dead', '']",2,"['car', 'car']",[],[],[],Triq Sir Temi Zammit,Mgarr
1989,,2,2,"[31, 19]","['na', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Zafran,Attard
1967,,2,2,"[41, 25]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Buqana,Rabat
1882,,0,0,[],[],[],0,[],[],[],[],,
1856,,6,2,"[39, 81]","['male', 'male']","['slight', 'slight', 'slight', 'slight', 'slight', 'grievous']",2,"['bus', 'car']",[],[],[],Coast Road,
1860,,2,2,"[41, 36]","['male', 'female']","['grievous', '']",2,"['car', 'car']",[],[],[],Triq Birzebbuga,Birzebbuga
1822,,0,0,[],[],[],0,[],[],[],[],,
1808,,3,3,"[36, 53, 52]","['male', 'male', 'male']","['grievous', 'none', 'none']",3,"['motorcycle', 'car', 'van']",[],[],[],Triq Aldo Moro,Marsa
1776,,2,2,"[79, 46]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Tal-Barrani,Zejtun
1769,,2,1,[22],['male'],"['grievous', 'none']",1,['car'],[],[],[],Triq Hal Luqa,Luqa
1718,,2,2,"[31, 72]","['female', 'male']","['grievous', '']",2,"['car', 'motorcycle']",[],[],[],Burmarrad Street,St Paul's Bay
1490,,2,2,"[54, 63]","['male', 'male']","['grievous', '']",2,"['car', 'motorcycle']",[],[],[],Triq l-Imgarr,Mgarr
1489,,3,2,"[74, 33]","['male', 'male']","['slight', 'slight', 'grievous']",2,"['car', 'car']",[],[],[],Triq ix-Xaghra,Xaghra
1467,,1,1,[43],['male'],[''],1,['motorcycle'],[],[],[],December 13 Road,Marsa
1387,,0,0,[],[],[],0,[],[],[],[],,
1380,,2,2,"[23, 34]","['', '']","['grievous', '']",2,"['van', 'motorcycle']",[],[],[],Triq Ghar Dalam,Birzebbuga
1352,,1,1,[39],['male'],['grievous'],1,['motorcycle'],['pothole'],[],[],Triq Ghar Lapsi,Siggiewi
1286,,2,2,"[34, 29]","['', '']","['grievous', '']",2,"['van', 'motorcycle']",[],[],[],Triq il-Wied,Qormi
1275,,2,2,"[62, 54]","['', 'female']","['', '']",2,"['motorcycle', 'car']",[],[],[],St Joseph High Road,Hamrun
1274,,0,0,[],[],[],0,[],[],[],[],,
1227,,2,2,"[22, 19]","['female', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Regional Road,Santa Venera
1165,,2,2,"[None, None]","['female', '']","['slight', 'grievous']",2,"['car', 'car']",[],[],[],Triq Dawret il-Mellieha,Mellieha
1034,,1,1,[29],['male'],['grievous'],1,['car'],[],[],[],,Mgarr
1015,,2,2,"[37, 65]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Aldo Moro,Marsa
974,,2,1,[22],['male'],"['grievous', '']",1,['car'],[],[],[],Triq c-Cern,Bugibba
964,,1,1,[35],['male'],['dead'],1,['motorcycle'],[],[],[],Xemxija bypass,Xemxija
760,,1,1,[62],['male'],['grievous'],1,['van'],[],[],[],Marfa Road,Mellieha
751,,1,1,[21],['male'],['grievous'],2,"['motorcycle', '']",[],[],[],Kennedy Drive,St Paul's Bay
685,,5,2,"[22, None]","['female', 'male']","['grievous', 'slight', 'slight', '', 'grievous']",2,"['car', 'car']",[],[],[],Triq Paredes and Triq il-Parrocca,St Paul's Bay
679,,2,2,"[39, 36]","['male', 'female']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq l-Imgarr,Xewkija
640,,1,1,[43],['male'],['dead'],1,['motorcycle'],[],[],[],Triq ix-Xatt Juan B Azopardo,Senglea
607,,3,3,"[67, None, None]","['', '', '']","['dead', '', '']",3,"['van', 'car', 'bicycle']",[],[],[],Triq Villabate,Marsascala
522,,1,1,[64],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Sant' Elizabetta,Xewkija
404,,2,2,"[53, 39]","['male', 'male']","['grievous', '']",2,"['motorcycle', 'car']",[],[],[],Triq Hal Farrug,Luqa
