id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,,1,2,"[78, None]","['male', 'na']",['none'],2,"['car', 'car']",['obstructed'],['speeding'],['tunnel'],Regional Road,St Julian's
4093,,1,1,[54],['male'],['critical'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4110,,1,1,[54],['male'],['serious'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4066,,2,2,"[52, 50]","['male', 'male']","['critical', 'critical']",4,"['car', 'car', 'car', 'car']",[],[],[],,Mellieħa; Gudja
4087,,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4049,,1,2,"[86, 45]","['female', 'male']",['serious'],2,"['car', 'motorcycle']",[],[],[],Triq l-Imgarr,Xewkija
4034,,1,1,[29],['male'],['serious'],2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
4007,,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4024,,1,1,[54],['male'],['dead'],1,['motorcycle'],[],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4014,,6,2,"[52, 46]","['male', 'male']","['none', 'none', 'slight', 'slight', 'slight', 'slight']",2,"['van', 'van']",[],[],[],Triq Mons Mikiel Azzopardi,Siġġiewi
3989,,2,2,"[None, None]","['na', 'na']","['none', 'none']",2,"['bus', 'car']",[],[],[],Triq Dicembru Tlettax,Blata l-Bajda
3991,,1,1,[30],['female'],['serious'],1,['motorcycle'],[],[],[],Tul il-Kosta,Naxxar
3976,,2,2,"[43, 44]","['male', 'male']","['serious', 'serious']",2,"['car', 'car']",[],[],[],Triq in-Naxxar; Triq San Gwann Bosco,Birkirkara; Sliema
3964,,4,4,"[31, 40, 29, 27]","['male', 'male', 'male', 'female']","['slight', 'serious', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",[],[],[],Triq is-Salini,St Paul's Bay
3966,,2,1,[25],['female'],"['grievous', 'none']",2,"['car', 'bicycle']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
3938,,2,2,"[37, 39]","['na', 'female']","['critical', 'none']",2,"['bus', 'van']",[],[],[],Regional Road,
3910,,2,2,"[37, 39]","['male', 'female']","['dead', 'none']",2,"['bus', 'van']",[],[],[],Regional Road,
3885,,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
3900,,2,2,"[62, 25]","['female', 'male']","['serious', 'none']",2,"['motorcycle', 'truck']",[],[],[],Triq il-Hotba,Żejtun
3766,,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",[],[],[],Birkirkara bypass,Birkirkara
3747,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3749,,3,1,[20],['female'],"['critical', 'grievous', 'none']",1,['truck'],[],[],[],Triq Hompesch,Fgura
3740,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3704,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Mdina Road,Attard
3671,,2,1,[56],['female'],"['grievous', 'slight']",1,['car'],[],[],[],Triq Għeriexem,Rabat
3601,,3,3,"[21, 21, 30]","['male', 'female', 'male']","['slight', 'slight', 'none']",3,"['motorcycle', 'motorcycle', 'car']",[],[],[],Anton Cassar Street; Tal-Barrani Road,Marsa
3586,,2,1,[36],['male'],"['', 'none']",1,['car'],[],[],[],Triq Ġuże' Howard corner with Triq Għar Id-Dud,Sliema
3551,,2,2,"[34, 45]","['male', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq il-Fortizza tal-Mosta,Naxxar
3456,,2,2,"[51, 47]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Rudolph Street,Sliema
3442,,1,1,[36],['male'],['dead'],1,['motorcycle'],[],[],['tunnel'],Triq Mikiel Anton Vassalli,Msida
3423,,1,1,[36],['male'],['dead'],1,['motorcycle'],[],[],[],,Msida
3408,,2,2,"[46, None]","['male', 'na']","['slight', 'none']",2,"['motorcycle', 'car']",[],[],[],Coast Road,Salini
3255,,2,2,"[34, 59]","['male', 'male']","['grievous', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Hal Farrug Street; Rue D'Argens,Luqa; Gzira
3220,,1,1,[44],['male'],['dead'],1,['car'],[],[],['tunnel'],Regional Road tunnels,St Julian's
3197,,3,2,"[58, 66]","['female', 'male']","['serious', 'serious', 'none']",2,"['car', 'motorcycle']",[],[],[],Triq Alfredo Cachia Zammit,Żejtun
3206,,1,1,[52],['male'],['grievous'],1,['motorcycle'],[],[],[],Vjal l-Istadium Nazzjonali,"Ta' Qali, Attard"
3169,2025-02-06 08:00:00,2,2,"[35, 26]","['male', 'female']","['slight', 'none']",2,"['motorcycle', 'car']",[],[],[],Labour Avenue,Naxxar
3100,2025-02-09 21:00:00,2,1,[25],['male'],"['grievous', 'grievous']",1,['van'],[],[],[],Triq-ir-Rabat,Marsalforn (Gozo)
3095,2025-02-10 21:00:00,2,1,[24],['male'],"['dead', 'grievous']",1,['car'],[],[],['tunnel'],Kirkop tunnels,Kirkop
3090,2025-02-10 21:00:00,2,1,[24],['male'],"['dead', 'grievous']",1,['car'],[],['speeding'],['tunnel'],Kirkop tunnels,Kirkop
3001,2025-02-15 00:00:00,2,2,"[39, 42]","['male', 'female']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq il-Wied,Iklin
2974,2025-02-16 11:00:00,2,1,[55],['na'],"['grievous', 'none']",2,"['bicycle', 'car']",[],[],[],Triq il-Kilpa,Siggiewi
2940,2025-02-17 13:00:00,4,2,"[30, 44]","['na', 'male']","['slight', 'grievous', 'slight', 'slight']",2,"['car', 'truck']",[],[],[],Hal Far road,Hal Far
