id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
4208,2024-12-07 17:00:00+00:00,2,2,"[78, None]","['male', 'na']","['slight', 'none']",2,"['car', 'car']",['dry'],['speeding'],['highway'],Regional Road,St Julian's
4093,2024-12-11 17:00:00+00:00,1,1,"[54, None]","['male', 'na']",['critical'],2,"['motorcycle', 'truck']",['dry'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4110,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['critical'],2,"['motorcycle', 'truck']",['dry'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4066,2024-12-13 17:30:00+00:00,1,1,[52],['male'],['critical'],1,['car'],['dry'],[],['residential_road'],Triq il-Marfa,Mellieha
4087,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', 'truck']",['dry'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4049,2024-12-15 20:30:00+00:00,2,2,"[86, 45]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",['dry'],[],['residential_road'],Triq l-Imgarr,Xewkija
4034,2024-12-13 19:45:00+00:00,2,2,"[50, 29]","['male', 'male']","['none', 'critical']",2,"['car', 'car']",['dry'],[],['residential_road'],Dawret il-Gudja,Gudja
4007,2024-12-11 17:00:00+00:00,1,1,[54],['male'],['dead'],2,"['motorcycle', 'truck']",['dry'],[],['highway'],St Paul's Bay bypass,St Paul's Bay
4014,2024-12-17 14:15:00+00:00,5,2,"[52, 46]","['male', 'male']","['none', 'slight', 'slight', 'slight', 'slight']",2,"['van', 'van']",['dry'],[],['residential_road'],Triq Mons Mikiel Azzopardi,Siggiewi
3989,2024-12-19 00:00:00+00:00,2,2,"[0, 0]","['na', 'na']","['none', 'none']",2,"['car', 'bus']",['dry'],[],['highway'],Triq Dicembru Tlettax,Blata l-Bajda
3991,2024-12-20 00:00:00+00:00,1,1,[30],['female'],['grievous'],1,['motorcycle'],['dry'],[],['residential_road'],Tul il-Kosta,Naxxar
3976,2024-12-20 11:30:00+00:00,2,2,"[43, 44]","['male', 'male']","['grievous', 'grievous']",2,"['car', 'car']",['dry'],[],['residential_road'],Triq in-Naxxar,Birkirkara
3964,2024-12-22 09:30:00+00:00,4,4,"[31, 40, 29, 27]","['male', 'male', 'male', 'female']","['slight', 'grievous', 'none', 'none']",4,"['motorcycle', 'motorcycle', 'motorcycle', 'car']",['dry'],[],['highway'],Triq is-Salina,Naxxar
3966,2024-12-22 10:15:00+00:00,2,1,[25],['female'],"['grievous', 'none']",2,"['car', 'bicycle']",['dry'],[],['residential_road'],Triq Sir Philip Pullicino,Mtarfa
3938,2024-12-23 10:30:00+00:00,2,2,"[37, 39]","['male', 'female']","['critical', 'slight']",2,"['bus', 'van']",['dry'],[],['highway'],Regional Road,San Gwann
3910,2024-12-23 10:30:00+00:00,2,2,"[37, 39]","['male', 'female']","['dead', 'slight']",2,"['bus', 'van']",['dry'],[],['highway'],Regional Road,San Gwann
3885,2024-12-27 07:45:00+00:00,1,1,[36],['male'],['grievous'],1,['car'],['dry'],[],['highway'],Triq Dicembru Tlettax,Marsa
3900,2024-12-27 12:00:00+00:00,2,2,"[25, 62]","['male', 'female']","['none', 'grievous']",2,"['truck', 'motorcycle']",['dry'],[],['residential_road'],Triq il-Hotba,Zejtun
3861,2022-09-24 00:00:00+00:00,3,1,[22],['male'],"['dead', 'slight', 'slight']",1,['car'],['dry'],[],['residential_road'],Triq il-Madliena,Swieqi
3834,2006-12-17 00:00:00+00:00,2,2,"[0, 0]","['na', 'na']","['grievous', 'none']",2,"['car', 'car']",['dry'],[],['residential_road'],Triq il-Mithna,Qormi
3766,2025-01-05 07:00:00+00:00,3,2,"[72, 28]","['male', 'male']","['grievous', 'grievous', 'slight']",2,"['car', 'car']",['dry'],[],['highway'],Birkirkara bypass,Birkirkara
3747,2025-01-06 21:00:00+00:00,1,1,[25],['male'],['dead'],1,['car'],['dry'],['speeding'],['highway'],Mdina Road,Attard
