id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
1,2025-10-09 09:30:00,2,2,"[67, 61]","['female', 'male']","['none', 'critical']",2,"['car', 'motorcycle']",[],[],[],Triq il-Belt Valletta,Zurrieq
2,2025-06-19 18:30:00,2,2,"[64, 23]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret il-Gudja,Gudja
3,2025-05-12 08:00:00,2,2,"[34, 29]","['male', 'male']","['none', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Valley Road,Qormi
4,2025-07-29 18:00:00,2,2,"[42, 29]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret Hal Ghaxaq,Ghaxaq
5,2025-04-06 20:45:00,2,2,"[25, 41]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq il-Buqana,Rabat
6,2025-04-15 08:50:00,3,3,"[36, 52, 53]","['male', 'male', 'male']","['grievous', 'none', 'none']",3,"['motorcycle', 'van', 'car']",[],[],[],Triq Aldo Moro,Marsa
7,2025-07-23 10:30:00,3,2,"[24, 81]","['male', 'male']","['slight', 'critical', 'dead']",2,"['van', 'car']",[],[],[],Mosta Road,Lija
8,2025-08-03 08:15:00,2,2,"[66, 30]","['male', 'female']","['critical', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq tal-Barrani,Zejtun
9,2025-06-11 15:45:00,2,2,"[35, 59]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],John Adye Street,Naxxar
10,2024-12-28 09:15:00,10,1,[79],['male'],"['none', 'grievous', 'slight', 'slight', 'slight', 'slight', 'slight', 'slight', 'slight', 'slight']",1,[''],[],[],[],St James Square,Zabbar
11,2025-03-16 08:00:00,1,1,[40],['male'],['critical'],1,['motorcycle'],[],[],[],Coast Road,Naxxar
12,2025-04-22 13:00:00,2,1,[48],['male'],"['none', 'grievous']",1,['car'],[],[],[],Cospicua Seafront,Cospicua
13,2025-05-08 10:15:00,2,1,[78],['male'],"['none', 'grievous']",1,['car'],[],[],[],Zabbar Road,Fgura
14,2025-06-13 22:00:00,1,1,[64],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Sant 'Elizabetta,Xewkija
15,2025-09-21 08:30:00,2,1,[75],['male'],"['none', 'grievous']",1,['car'],[],[],[],Sa Maison Street,Tal-Pietà
16,2025-04-17 00:00:00,2,1,[22],['male'],"['none', 'grievous']",1,['van'],[],[],[],Luqa Road,Luqa
17,2025-02-21 07:30:00,2,1,[80],['male'],"['grievous', 'grievous']",1,['car'],[],[],[],Triq il-Bacir,Paola
18,2024-12-22 10:15:00,2,2,"[13, 25]","['female', 'male']","['grievous', 'none']",2,"['bicycle', 'car']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
19,2025-02-21 13:30:00,2,2,"[61, 31]","['male', 'male']","['grievous', 'none']",2,"['bus', 'car']",[],[],[],Triq Nazzjonali,Floriana
20,2025-09-13 21:00:00,1,1,[54],['male'],['critical'],1,['car'],[],[],[],Triq il-Perit Dom Mintoff,Paola
21,,3,2,"[55, 33]","['male', 'female']","['grievous', '', '']",2,"['motorcycle', 'car']",[],[],[],Triq Emmanuele Luigi Galizia,Marsa
22,,2,1,[50],['male'],"['', 'grievous']",2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
23,,2,1,[24],['male'],"['grievous', '']",1,['van'],[],[],[],Triq L. Zamenhof corner with Triq Xmiexi,Msida
24,,2,2,"[23, 34]","['', 'male']","['', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Triq Ghar Dalam,Birzebbuga
25,,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
26,,1,1,[43],['male'],['grievous'],1,['motorcycle'],[],[],[],December 13 Road,Marsa
27,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Triq L-Imdina,Attard
28,,7,3,"[49, 19, 50]","['male', '', 'male']","['', '', '', '', 'slight', 'slight', 'grievous']",3,"['car', 'car', 'car']",[],[],[],Triq Dawret il-Gudja,Gudja
29,,2,2,"[39, 35]","['male', 'female']","['', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Xatt l-Ghassara tal-Gheneb,il-Marsa
30,,2,1,[26],['male'],"['grievous', '']",1,['car'],[],[],[],Triq il-Mina ta' Hompesch,Haz-Zabbar
31,,2,2,"[31, 72]","['female', 'male']","['', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Burmarrad,St Paul's Bay
