id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
1,,2,2,"[67, 61]","['female', 'male']","['none', 'serious']",2,"['car', 'motorcycle']",[],[],[],Triq il-Belt Valletta,Zurrieq
2,,2,2,"[64, 23]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret il-Gudja,Gudja
3,,2,2,"[34, 29]","['male', 'male']","['none', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Valley Road,Qormi
4,,2,2,"[42, 29]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret Hal Ghaxaq,Ghaxaq
5,,2,2,"[25, 41]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq il-Buqana,Rabat
6,,3,3,"[36, 52, 53]","['male', 'male', 'male']","['grievous', 'none', 'none']",3,"['motorcycle', 'van', 'car']",[],[],[],Triq Aldo Moro,Marsa
7,,3,2,"[24, 81]","['male', 'male']","['slight', 'serious', 'dead']",2,"['van', 'car']",[],[],[],Mosta Road,Lija
8,,2,2,"[66, 30]","['male', 'female']","['serious', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq tal-Barrani,Zejtun
9,,2,2,"[35, 59]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'truck']",[],[],[],John Adye Street,Naxxar
10,,10,1,[79],['male'],"['none', 'slight', 'slight', 'slight', 'grievous', 'slight', 'slight', 'slight', 'slight', 'slight']",1,['car'],[],[],[],St James Square,Zabbar
11,,1,1,[40],['male'],['serious'],1,['motorcycle'],[],[],[],Coast Road,Naxxar
12,,2,1,[48],['male'],"['grievous', 'none']",1,['car'],[],[],[],Cospicua Seafront,Cospicua
13,,2,1,[78],['male'],"['grievous', 'none']",1,['car'],[],[],[],Zabbar Road,Fgura
14,,1,1,[64],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Sant 'Elizabetta,Xewkija
15,,2,1,[75],['male'],"['grievous', 'none']",1,['car'],[],[],[],Sa Maison Street,Tal-Pietà
16,,2,1,[22],['male'],"['grievous', 'none']",1,['van'],[],[],[],Luqa Road,Luqa
17,,2,1,[80],['male'],"['grievous', 'grievous']",1,['car'],[],[],[],Triq il-Bacir,Paola
18,,2,1,[25],['male'],"['grievous', 'none']",2,"['bicycle', 'car']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
19,,2,2,"[61, 31]","['male', 'male']","['grievous', 'grievous']",2,"['bus', 'car']",[],[],[],Triq Nazzjonali,Floriana
20,,1,1,[54],['male'],['serious'],1,['car'],[],[],[],Triq il-Perit Dom Mintoff,Paola
21,,3,2,"[55, 33]","['male', 'female']","['grievous', 'none', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Emmanuele Luigi Galizia,Marsa
22,,3,2,"[50, 0]","['male', 'na']","['none', 'none', 'serious']",2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
23,,2,1,[24],['male'],"['grievous', 'none']",1,['van'],[],[],[],Triq L. Zamenhof corner with Triq Xmiexi,Msida
24,,2,2,"[23, 34]","['male', 'male']","['none', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Triq Ghar Dalam,Birzebbuga
25,,1,1,[36],['male'],['grievous'],1,['car'],[],[],[],Triq Dicembru Tlettax,Marsa
26,,1,1,[43],['male'],['serious'],1,['motorcycle'],[],[],[],December 13 Road,Marsa
27,,1,1,[25],['male'],['dead'],1,['car'],[],[],[],Triq L-Imdina,Attard
28,,7,3,"[49, 19, 50]","['male', 'male', 'male']","['none', 'none', 'none', 'slight', 'slight', 'slight', 'grievous']",3,"['car', 'car', 'car']",[],[],[],Triq Dawret il-Gudja,Gudja
29,,2,2,"[39, 35]","['male', 'female']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Xatt l-Ghassara tal-Gheneb,Marsa
30,,2,1,[26],['male'],"['serious', 'none']",1,['car'],[],[],[],Triq il-Mina ta' Hompesch,Haz-Zabbar
31,,2,2,"[31, 72]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Burmarrad,St Paul's Bay
32,,2,2,"[34, 30]","['female', 'male']","['none', 'serious']",2,"['car', 'motorcycle']",[],[],[],Triq iz-Zejfa,Mosta
33,,2,2,"[46, 79]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Tal-Barrani Road,Zejtun
34,,2,2,"[19, 22]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Regional Road,Santa Venera
35,,3,2,"[57, 32]","['male', 'male']","['grievous', 'dead', 'grievous']",2,"['car', 'car']",[],[],[],Triq L-Imdina,Haz-Zebbug
36,,2,1,[44],['male'],"['none', 'grievous']",1,['motorcycle'],[],[],[],Triq San Pawl,St Paul's Bay
37,,2,1,[30],['male'],"['grievous', 'none']",1,['car'],[],[],[],Triq San Pawl,Naxxar
