id,date_of_accident,num_people_involved,num_drivers,driver_ages,driver_genders,injury_severities,num_vehicles_involved,vehicle_types,road_conditions,human_factors,infrastructure,road_name,locality
1,2025-10-09 09:30:00+00:00,2,2,"[67, 61]","['female', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq il-Belt Valletta,Zurrieq
2,2025-06-19 18:30:00+00:00,2,2,"[64, 23]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret il-Gudja,Gudja
3,2025-05-12 08:00:00+00:00,2,2,"[34, 29]","['male', 'male']","['none', 'grievous']",2,"['van', 'motorcycle']",[],[],[],Valley Road,Qormi
4,2025-07-29 18:00:00+00:00,2,2,"[42, 29]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq Dawret Hal Ghaxaq,Ghaxaq
5,2025-04-06 20:45:00+00:00,2,2,"[25, 41]","['male', 'male']","['none', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq il-Buqana,Rabat
6,2025-04-15 08:50:00+00:00,3,3,"[36, 52, 53]","['male', 'male', 'male']","['grievous', 'none', 'none']",3,"['motorcycle', 'van', 'car']",[],[],[],Triq Aldo Moro,Marsa
7,2025-07-23 10:30:00+00:00,3,2,"[24, 81]","['male', 'male']","['slight', 'serious', 'dead']",2,"['van', 'car']",[],[],[],Mosta Road,Lija
8,2025-08-03 08:15:00+00:00,2,2,"[66, 30]","['male', 'female']","['serious', 'grievous']",2,"['car', 'motorcycle']",[],[],[],Triq tal-Barrani,Zejtun
9,2025-06-11 15:45:00+00:00,2,2,"[35, 59]","['male', 'male']","['grievous', 'none']",2,"['motorcycle', 'car']",[],[],[],John Adye Street,Naxxar
10,2024-12-28 09:15:00+00:00,10,1,[79],['male'],"['none', 'slight', 'slight', 'slight', 'slight', 'grievous', 'slight', 'slight', 'slight']",1,['car'],[],[],[],St James Square,Zabbar
11,2025-03-16 08:00:00+00:00,1,1,[40],['male'],['serious'],1,['motorcycle'],[],[],[],Coast Road,Naxxar
12,2025-04-22 13:00:00+00:00,2,1,[48],['male'],"['grievous', 'none']",2,"['car', 'pedestrian']",[],[],[],Cospicua Seafront,Cospicua
13,2025-05-08 10:15:00+00:00,2,1,[78],['male'],"['grievous', 'none']",2,"['car', 'pedestrian']",[],[],[],Zabbar Road,Fgura
14,2025-06-13 22:00:00+00:00,1,1,[64],['male'],['grievous'],1,['motorcycle'],[],[],[],Triq Sant 'Elizabetta,Xewkija
15,2025-09-21 08:30:00+00:00,2,1,[75],['male'],"['grievous', 'none']",2,"['car', 'pedestrian']",[],[],[],Sa Maison Street,Tal-Pietà
16,2025-04-17 00:00:00+00:00,2,1,[22],['male'],"['grievous', 'none']",2,"['van', 'pedestrian']",[],[],[],Luqa Road,Luqa
17,2025-02-21 07:30:00+00:00,2,1,[80],['male'],"['grievous', 'grievous']",1,['car'],[],[],[],Triq il-Bacir,Paola
18,2024-12-22 10:15:00+00:00,2,1,[25],['male'],"['grievous', 'none']",2,"['car', 'bicycle']",[],[],[],Triq Sir Philip Pullicino,Mtarfa
19,2025-02-21 13:30:00+00:00,2,2,"[61, 31]","['male', 'male']","['grievous', 'none']",2,"['other', 'car']",[],[],[],Triq Nazzjonali,Floriana
20,2025-09-13 21:00:00+00:00,1,1,[54],['male'],['serious'],1,['car'],[],[],[],Triq il-Perit Dom Mintoff,Paola
21,2025-08-29 15:15:00+00:00,3,2,"[55, 33]","['male', 'female']","['grievous', 'none', 'none']",2,"['motorcycle', 'car']",[],[],[],Triq Emmanuele Luigi Galizia,Marsa
22,2024-12-13 19:45:00+00:00,3,2,"[50, 0]","['male', 'na']","['serious', 'none', 'none']",2,"['car', 'car']",[],[],[],Dawret il-Gudja,Gudja
23,2025-05-07 10:00:00+00:00,2,1,[24],['male'],"['grievous', 'none']",2,"['van', 'pedestrian']",[],[],[],Triq L. Zamenhof,Msida
