id,date_of_accident_gpt-5-mini,date_of_accident_grok-4-fast-non-reasoning,date_of_accident_DeepSeek-R1-0528,date_of_accident_final_value,date_of_accident_confidence,num_people_involved_gpt-5-mini,num_people_involved_grok-4-fast-non-reasoning,num_people_involved_DeepSeek-R1-0528,num_people_involved_final_value,num_people_involved_confidence,num_drivers_gpt-5-mini,num_drivers_grok-4-fast-non-reasoning,num_drivers_DeepSeek-R1-0528,num_drivers_final_value,num_drivers_confidence,driver_ages_gpt-5-mini,driver_ages_grok-4-fast-non-reasoning,driver_ages_DeepSeek-R1-0528,driver_ages_final_value,driver_ages_confidence,driver_genders_gpt-5-mini,driver_genders_grok-4-fast-non-reasoning,driver_genders_DeepSeek-R1-0528,driver_genders_final_value,driver_genders_confidence,injury_severities_gpt-5-mini,injury_severities_grok-4-fast-non-reasoning,injury_severities_DeepSeek-R1-0528,injury_severities_final_value,injury_severities_confidence,num_vehicles_involved_gpt-5-mini,num_vehicles_involved_grok-4-fast-non-reasoning,num_vehicles_involved_DeepSeek-R1-0528,num_vehicles_involved_final_value,num_vehicles_involved_confidence,vehicle_types_gpt-5-mini,vehicle_types_grok-4-fast-non-reasoning,vehicle_types_DeepSeek-R1-0528,vehicle_types_final_value,vehicle_types_confidence,road_conditions_gpt-5-mini,road_conditions_grok-4-fast-non-reasoning,road_conditions_DeepSeek-R1-0528,road_conditions_final_value,road_conditions_confidence,human_factors_gpt-5-mini,human_factors_grok-4-fast-non-reasoning,human_factors_DeepSeek-R1-0528,human_factors_final_value,human_factors_confidence,infrastructure_gpt-5-mini,infrastructure_grok-4-fast-non-reasoning,infrastructure_DeepSeek-R1-0528,infrastructure_final_value,infrastructure_confidence,road_name_gpt-5-mini,road_name_grok-4-fast-non-reasoning,road_name_DeepSeek-R1-0528,road_name_final_value,road_name_confidence,locality_gpt-5-mini,locality_grok-4-fast-non-reasoning,locality_DeepSeek-R1-0528,locality_final_value,locality_confidence
287,,2025-06-25 07:00:00+00:00,2025-06-24 07:00:00+00:00,2025-06-25 07:00:00+00:00,0.33,3,3,3,3,1,2,2,2,2,1,"[34, None]","[0, 34]","[34, None]","[34, None]","['0.67', '0.67']","['female', 'male']",[],"['female', 'na']","['female', 'male']","['0.67', '0.33']","['hospitalised', 'hospitalised', 'none']","['slight', 'slight', 'none']","['none', 'none', 'none']","['hospitalised', 'hospitalised', 'none']","['0.33', '0.33', '1.00']",2,2,2,2,1,"['car', 'motorcycle']","['motorcycle', 'car']","['car', 'motorcycle']","['car', 'motorcycle']","['0.67', '0.67']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Regional Road,Regional Road,Regional Road,Regional Road,1,,,,,0
313,,2025-06-23 08:45:00+00:00,2025-06-23 08:45:00+00:00,2025-06-23 08:45:00+00:00,0.67,1,3,1,1,0.67,3,3,1,3,0.67,"[None, 23, None]","[0, 23, 0]",[23],"[None, 23, None]","['0.33', '0.67', '0.33']","['na', 'female', 'na']",[],['female'],"['na', 'female', 'na']","['0.33', '0.33', '0.33']",['minor'],"['slight', 'none', 'none']",['slight'],"['slight', 'none', 'none']","['0.67', '0.33', '0.33']",3,3,3,3,1,"['van', 'car', 'car']","['van', 'car', 'car']","['van', 'car', 'car']","['van', 'car', 'car']","['1.00', '1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['highway'],[],['highway'],['0.33'],Regional Road (outside Tal-Qroqq tunnels),Regional Road,Regional Road near Tal-Qroqq tunnels,Regional Road (outside Tal-Qroqq tunnels),0.33,Gzira/St Julian's,Tal-Qroqq,,Gzira/St Julian's,0.33
361,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,1,2,1,2,2,0.67,1,1,1,1,1,[52],[52],[52],[52],['1.00'],['male'],['male'],['male'],['male'],['1.00'],"['dead', 'none']",['dead'],"['dead', 'none']","['dead', 'none']","['1.00', '0.67']",1,1,1,1,1,['car'],['car'],['car'],['car'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['crosswalk'],[],['crosswalk'],['0.33'],Pinto Wharf,Pinto Wharf,Pinto Wharf,Pinto Wharf,1,Floriana,Floriana,Floriana,Floriana,1
381,,2025-06-20 18:30:00+00:00,2025-06-19 18:30:00+00:00,2025-06-20 18:30:00+00:00,0.33,2,2,2,2,1,2,2,2,2,1,"[64, 23]","[23, 64]","[64, 23]","[64, 23]","['0.67', '0.67']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['serious', 'none']","['serious', 'none']","['none', 'serious']","['serious', 'none']","['0.67', '0.67']",2,2,2,2,1,"['car', 'motorcycle']","['motorcycle', 'car']","['car', 'motorcycle']","['car', 'motorcycle']","['0.67', '0.67']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Dawret il-Gudja,Triq Dawret il-Gudja,Triq Dawret il-Gudja,Triq Dawret il-Gudja,1,Gudja,Gudja,Gudja,Gudja,1
404,,2025-06-19 10:15:00+00:00,2025-06-19 10:15:00+00:00,2025-06-19 10:15:00+00:00,0.67,2,2,2,2,1,2,2,2,2,1,"[53, 39]","[53, 39]","[53, 39]","[53, 39]","['1.00', '1.00']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['grievous', 'none']","['1.00', '1.00']",2,2,2,2,1,"['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['motorcycle', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Hal Farrug,Triq Hal Farrug,Triq Hal Farrug,Triq Hal Farrug,1,Luqa,Luqa,Luqa,Luqa,1
407,,2025-06-19 06:30:00+00:00,2025-06-19 06:30:00+00:00,2025-06-19 06:30:00+00:00,0.67,1,1,1,1,1,1,1,1,1,1,[53],[53],[53],[53],['1.00'],['male'],['male'],['na'],['male'],['0.67'],['serious'],['slight'],[''],['serious'],['0.33'],1,1,1,1,1,['bus'],['bus'],['bus'],['bus'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq President Anton Buttigieg,Triq President Anton Buttigieg,Triq President Anton Buttigieg,Triq President Anton Buttigieg,1,Zejtun,Zejtun,Zejtun,Zejtun,1
408,,2025-06-18 22:00:00+00:00,2025-06-18 22:00:00+00:00,2025-06-18 22:00:00+00:00,0.67,3,3,3,3,1,2,2,2,2,1,"[32, 57]","[32, 57]","[32, 57]","[32, 57]","['1.00', '1.00']","['male', 'male']","['male', 'male']","['male', 'male']","['male', 'male']","['1.00', '1.00']","['dead', 'serious', 'grievous']","['dead', 'serious', 'grievous']","['dead', 'grievous', 'grievous']","['dead', 'serious', 'grievous']","['1.00', '0.67', '1.00']",2,2,2,2,1,"['car', 'car']","['car', 'car']","['car', 'car']","['car', 'car']","['1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Mdina Road,Mdina Road,Mdina Road,Mdina Road,1,Zebbug,Zebbug,Zebbug,Zebbug,1
416,,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,2025-06-19 13:15:00+00:00,0.67,2,1,2,2,0.67,1,1,1,1,1,[52],[52],[52],[52],['1.00'],['male'],['male'],['male'],['male'],['1.00'],"['serious', 'none']",['serious'],"['critical', 'none']","['serious', 'none']","['0.67', '0.67']",1,1,1,1,1,['car'],['car'],['car'],['car'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['crosswalk'],[],['crosswalk'],['0.33'],Pinto Wharf,Pinto Wharf,Pinto Wharf,Pinto Wharf,1,Floriana,Floriana,Floriana,Floriana,1
522,,2025-06-14 22:00:00+00:00,2025-06-14 22:00:00+00:00,2025-06-14 22:00:00+00:00,0.67,1,1,1,1,1,1,1,1,1,1,[64],[64],[64],[64],['1.00'],['male'],['male'],['male'],['male'],['1.00'],['grievous'],['grievous'],['grievous'],['grievous'],['1.00'],1,1,1,1,1,['motorcycle'],['motorcycle'],['motorcycle'],['motorcycle'],['1.00'],[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Sant' Elizabetta,Triq Sant' Elizabetta,Triq Sant' Elizabetta,Triq Sant' Elizabetta,1,Xewkija,Xewkija,Xewkija,Xewkija,1
607,,2025-06-12 10:00:00+00:00,2025-06-12 10:00:00+00:00,2025-06-12 10:00:00+00:00,0.67,3,3,4,3,0.67,2,2,3,2,0.67,"[None, None]","[0, 0]","[67, None, None]","[None, None, None]","['0.33', '0.67', '0.33']","['na', 'na']",[],"['male', '', '']","['na', 'na', '']","['0.33', '0.33', '0.33']","['dead', 'na', 'na']","['dead', 'none', 'grievous']","['dead', '', 'none', 'none']","['dead', 'na', 'na', 'none']","['1.00', '0.33', '0.33', '0.33']",3,3,3,3,1,"['van', 'car', 'bicycle']","['van', 'car', 'bicycle']","['van', 'car', 'bicycle']","['van', 'car', 'bicycle']","['1.00', '1.00', '1.00']",[],['dry'],[],['dry'],['0.33'],[],[],[],[],[],[],['residential_road'],[],['residential_road'],['0.33'],Triq Villabate,Triq Villabate,Triq Villabate,Triq Villabate,1,Marsascala,Marsascala,Marsascala,Marsascala,1
